transaction_id,transaction_date,unit_price,store_id,return_flag,quantity,product_id,payment_method,line_total,item_id,discount_pct,customer_id,channel,cashback_earned,amount
TXN000025,2023-04-07,42.38,STR012,0,2,PRD011,Mastercard,84.76,ITM0000027,0,CUST00002,Online,$3.85,156.52
TXN000026,2023-04-29,251.26,STR027,0,1,PRD017,Mastercard,251.26,ITM0000028,0,CUST00002,Online,$8.39,507.22
TXN000027,2023-11-06,64.86,STR002,0,1,PRD012,Visa,64.86,ITM0000029,0,CUST00003,Online,$0,152.6
TXN000028,2024-06-20,67.18,STR002,0,3,PRD012,Visa,201.54,ITM0000030,0,CUST00003,In-Store,$0,278.54
TXN000030,2024-11-23,278.81,STR027,0,3,PRD010,Visa,836.43,ITM0000032,0,CUST00003,In-Store,$0,127.69
TXN000031,2024-01-23,184.19,STR018,1,1,PRD016,Visa,184.19,ITM0000033,0,CUST00003,In-Store,$0,393.2
TXN000032,2023-09-30,48.09,STR029,0,2,PRD009,Visa,96.18,ITM0000036,0,CUST00003,In-Store,$0,48.96
TXN000033,2022-07-29,659.16,STR030,0,2,PRD005,Visa,1318.32,ITM0000038,0,CUST00003,In-Store,$0,307.2
TXN000034,2023-10-23,467.06,STR007,1,1,PRD008,Visa,467.06,ITM0000039,0,CUST00003,In-Store,$0,344.06
TXN000035,2023-10-27,236.56,STR013,0,1,PRD017,Debit,236.56,ITM0000040,0,CUST00004,Online,$0,162.53
TXN000036,2022-06-02,195.28,STR019,0,2,PRD016,Debit,300.73,ITM0000041,0.23,CUST00004,Online,$0,189.76
TXN000037,2024-07-03,85.09,STR005,1,2,PRD014,Mastercard,146.35,ITM0000042,0.14,CUST00005,In-Store,$19.55,572.96
TXN000038,2023-07-01,132.93,STR009,0,1,PRD001,Mastercard,132.93,ITM0000043,0,CUST00005,In-Store,$12.09,352.55
TXN000039,2022-02-20,21.55,STR027,0,1,PRD020,Mastercard,21.55,ITM0000044,0,CUST00005,Online,$14.69,643.7
TXN000040,2023-09-03,47.81,STR007,0,1,PRD009,Mastercard,47.81,ITM0000045,0,CUST00005,Mobile App,$1.96,80.5
TXN000041,2024-10-18,259.57,STR004,1,2,PRD010,Mastercard,519.14,ITM0000046,0,CUST00005,In-Store,$3.51,167.07
TXN000042,2022-11-25,52.91,STR005,0,1,PRD002,Mastercard,45.5,ITM0000047,0.14,CUST00005,Online,$11.85,469.01
TXN000043,2023-03-03,262.64,STR027,0,1,PRD010,Mastercard,262.64,ITM0000048,0,CUST00005,In-Store,$4.65,123.39
TXN000044,2023-09-16,127.98,STR008,0,1,PRD001,Mastercard,127.98,ITM0000049,0,CUST00005,In-Store,$13.78,647.52
TXN000045,2023-12-06,57.97,STR019,0,1,PRD002,Mastercard,57.97,ITM0000050,0,CUST00005,In-Store,$14.13,367.9
TXN000046,2023-03-01,278.55,STR028,0,1,PRD010,Mastercard,278.55,ITM0000051,0,CUST00005,In-Store,$8.03,524.77
TXN000047,2022-09-08,133.95,STR012,0,1,PRD013,Mastercard,133.95,ITM0000052,0,CUST00005,In-Store,$16.02,425.64
TXN000048,2024-09-24,170.94,STR030,0,1,PRD018,Mastercard,170.94,ITM0000053,0,CUST00005,Online,$14.15,608.45
TXN000049,2022-01-27,387.23,STR003,0,1,PRD019,Mastercard,387.23,ITM0000055,0,CUST00006,In-Store,$15.83,587.51
TXN000050,2022-05-28,269.15,STR029,0,1,PRD015,Mastercard,269.15,ITM0000056,0,CUST00006,Mobile App,$20.23,615.1
TXN000051,2023-07-15,66.01,STR029,0,1,PRD012,Mastercard,66.01,ITM0000057,0,CUST00006,In-Store,$9.52,275.83
TXN000052,2023-02-21,216.94,STR010,1,1,PRD017,Mastercard,216.94,ITM0000058,0,CUST00006,In-Store,$14.83,534.63
TXN000053,2022-09-14,262.91,STR021,1,1,PRD015,Mastercard,262.91,ITM0000060,0,CUST00006,Mobile App,$7.16,216.06
TXN000054,2022-02-28,181.91,STR028,1,1,PRD003,Mastercard,181.91,ITM0000061,0,CUST00006,Online,$9.71,299.1
TXN000055,2024-02-27,144.09,STR018,0,1,PRD013,Mastercard,134,ITM0000062,0.07,CUST00006,Mobile App,$3.63,154.17
TXN000056,2022-09-10,42.46,STR014,1,1,PRD011,Mastercard,42.46,ITM0000063,0,CUST00006,In-Store,$2.72,270.31
TXN000057,2023-10-04,571.66,STR009,1,1,PRD005,Mastercard,571.66,ITM0000064,0,CUST00006,In-Store,$6.56,598.32
TXN000058,2024-12-04,65.61,STR019,0,1,PRD002,Mastercard,65.61,ITM0000065,0,CUST00006,In-Store,$8.09,203.89
TXN000059,2024-06-15,167.26,STR029,0,1,PRD018,Mastercard,167.26,ITM0000066,0,CUST00007,In-Store,$12.17,377.77
TXN000060,2022-07-12,65.2,STR003,0,1,PRD002,Mastercard,65.2,ITM0000067,0,CUST00007,In-Store,$5.78,315.93
TXN000061,2023-11-21,166.91,STR007,0,1,PRD016,Mastercard,156.9,ITM0000068,0.06,CUST00007,In-Store,$4.94,416.24
TXN000062,2023-09-15,619.91,STR014,0,1,PRD005,Mastercard,619.91,ITM0000069,0,CUST00007,Mobile App,$20.35,593.86
TXN000063,2023-12-05,157.96,STR005,0,1,PRD013,Mastercard,157.96,ITM0000071,0,CUST00007,In-Store,$9.33,338.67
TXN000064,2024-01-01,311.99,STR029,0,1,PRD007,Mastercard,311.99,ITM0000072,0,CUST00007,Online,$11.87,432.14
TXN000065,2022-11-20,170.29,STR015,0,3,PRD018,Mastercard,510.87,ITM0000073,0,CUST00007,In-Store,$11.56,336.44
TXN000066,2023-09-04,52.46,STR030,0,1,PRD009,Mastercard,52.46,ITM0000074,0,CUST00007,Mobile App,$1.93,56.06
TXN000068,2023-07-10,47.74,STR009,0,1,PRD009,Mastercard,47.74,ITM0000076,0,CUST00007,Mobile App,$8.60,604.47
TXN000069,2024-12-28,57.35,STR001,0,1,PRD009,Mastercard,57.35,ITM0000077,0,CUST00007,In-Store,$6.95,179.5
TXN000070,2022-05-16,290.33,STR013,0,1,PRD010,Mastercard,290.33,ITM0000078,0,CUST00007,Online,$5.52,260.33
TXN000071,2024-09-14,148.77,STR005,0,2,PRD018,Mastercard,297.54,ITM0000079,0,CUST00007,In-Store,$16.87,545.97
TXN000072,2024-07-26,270.58,STR027,0,1,PRD015,Mastercard,270.58,ITM0000080,0,CUST00007,In-Store,$11.77,324.6
TXN000073,2022-01-17,163.17,STR010,0,1,PRD003,Mastercard,163.17,ITM0000081,0,CUST00007,In-Store,$9.13,395.73
TXN000074,2022-07-14,159.92,STR017,0,1,PRD013,Mastercard,159.92,ITM0000084,0,CUST00007,Online,$0.84,71.58
TXN000075,2024-09-10,326.17,STR007,0,2,PRD007,Mastercard,652.34,ITM0000085,0,CUST00008,Online,$3.52,92.32
TXN000076,2023-12-24,502.31,STR021,0,1,PRD008,Mastercard,502.31,ITM0000086,0,CUST00008,In-Store,$7.17,291.66
TXN000077,2022-06-08,68.6,STR020,0,1,PRD012,Mastercard,68.6,ITM0000087,0,CUST00008,Online,$1.95,99.36
TXN000078,2023-11-23,176.19,STR018,0,1,PRD003,Mastercard,153.29,ITM0000088,0.13,CUST00008,Online,$10.34,287.99
TXN000079,2024-11-24,384.68,STR009,0,1,PRD007,Mastercard,384.68,ITM0000089,0,CUST00008,In-Store,$2.77,267.1
TXN000080,2022-11-23,49.41,STR017,0,1,PRD011,Mastercard,49.41,ITM0000090,0,CUST00008,In-Store,$4.50,152.86
TXN000081,2023-11-18,545.99,STR011,0,1,PRD008,Mastercard,545.99,ITM0000091,0,CUST00008,Mobile App,$0.96,51.51
TXN000082,2022-11-21,172.36,STR016,0,3,PRD018,Mastercard,517.08,ITM0000092,0,CUST00008,In-Store,$5.06,286.27
TXN000083,2023-12-17,292.95,STR007,0,1,PRD010,Mastercard,292.95,ITM0000093,0,CUST00008,Online,$8.10,584.63
TXN000084,2022-10-07,61.89,STR011,1,2,PRD012,Mastercard,123.78,ITM0000094,0,CUST00008,In-Store,$0.82,59.22
TXN000085,2023-11-28,29.1,STR004,0,1,PRD006,Mastercard,29.1,ITM0000095,0,CUST00008,Mobile App,$14.38,439.56
TXN000086,2022-12-06,641.1,STR007,0,1,PRD005,Mastercard,641.1,ITM0000096,0,CUST00008,In-Store,$6.16,365.85
TXN000087,2022-12-23,48.97,STR004,0,1,PRD011,Mastercard,48.97,ITM0000098,0,CUST00008,Online,$11.37,355.38
TXN000088,2023-06-05,61.87,STR022,0,1,PRD002,Mastercard,61.87,ITM0000099,0,CUST00008,In-Store,$10.80,564.55
TXN000089,2024-10-22,174,STR010,0,1,PRD016,Mastercard,174,ITM0000101,0,CUST00008,Online,$5.19,511.23
TXN000090,2023-06-25,27.31,STR007,0,1,PRD020,Mastercard,22.39,ITM0000102,0.18,CUST00008,In-Store,$9.64,302.33
TXN000091,2023-12-20,35.75,STR028,0,2,PRD004,Mastercard,71.5,ITM0000103,0,CUST00009,Online,$11.45,421.31
TXN000092,2023-12-04,235.23,STR027,0,1,PRD017,Mastercard,235.23,ITM0000104,0,CUST00009,Online,$3.94,257.29
TXN000093,2024-02-25,160.29,STR027,0,1,PRD013,Mastercard,160.29,ITM0000105,0,CUST00009,In-Store,$5.17,286.61
TXN000094,2024-03-09,506.91,STR008,0,1,PRD008,Mastercard,506.91,ITM0000106,0,CUST00009,Mobile App,$7.59,265.54
TXN000095,2024-05-03,141.42,STR016,0,1,PRD001,Mastercard,141.42,ITM0000107,0,CUST00009,Online,$1.82,104.19
TXN000096,2023-12-07,60.16,STR013,0,3,PRD002,Mastercard,171.46,ITM0000108,0.05,CUST00009,In-Store,$10.26,603.52
TXN000097,2023-03-03,45.62,STR023,0,1,PRD011,Mastercard,37.41,ITM0000109,0.18,CUST00009,Mobile App,$13.53,466.23
TXN000098,2023-11-26,194.18,STR007,0,1,PRD016,Mastercard,194.18,ITM0000110,0,CUST00009,Mobile App,$5.32,134
TXN000099,2024-10-08,59.1,STR004,0,1,PRD002,Mastercard,59.1,ITM0000111,0,CUST00009,In-Store,$3.86,131.95
TXN000100,2024-05-06,415.08,STR018,0,2,PRD019,Mastercard,830.16,ITM0000112,0,CUST00009,Mobile App,$8.10,494.42
TXN000101,2023-08-10,123.71,STR024,0,1,PRD001,Mastercard,123.71,ITM0000114,0,CUST00009,In-Store,$2.59,240.4
TXN000102,2022-07-27,44.65,STR010,0,1,PRD011,Mastercard,44.65,ITM0000115,0,CUST00009,Online,$6.30,368.42
TXN000103,2022-06-08,263.7,STR008,0,1,PRD010,Mastercard,263.7,ITM0000116,0,CUST00009,Online,$3.34,256.24
TXN000104,2024-11-21,203.53,STR003,0,1,PRD003,Mastercard,203.53,ITM0000117,0,CUST00009,In-Store,$15.86,463.73
TXN000105,2022-09-25,525.02,STR016,0,3,PRD008,Visa,1575.06,ITM0000118,0,CUST00010,Online,$0,167.33
TXN000106,2022-01-09,252.15,STR009,0,2,PRD010,Visa,504.3,ITM0000119,0,CUST00010,In-Store,$0,378.62
TXN000107,2024-09-14,31.82,STR029,0,1,PRD006,Visa,30.23,ITM0000120,0.05,CUST00010,Online,$0,384.6
TXN000108,2022-10-14,160.39,STR009,0,1,PRD016,Visa,160.39,ITM0000121,0,CUST00010,Online,$0,169.97
TXN000109,2022-09-08,44.42,STR013,0,2,PRD011,Visa,88.84,ITM0000123,0,CUST00010,Online,$0,392.14
TXN000110,2023-09-02,69.54,STR015,0,1,PRD012,Visa,65.37,ITM0000124,0.06,CUST00010,In-Store,$0,318.62
TXN000111,2023-07-24,23.89,STR024,0,3,PRD020,Visa,71.67,ITM0000125,0,CUST00010,Online,$0,339.37
TXN000112,2022-12-03,53.12,STR023,0,1,PRD002,Visa,53.12,ITM0000126,0,CUST00010,In-Store,$0,170.73
TXN000113,2023-02-25,511,STR007,0,2,PRD005,Visa,909.58,ITM0000127,0.11,CUST00010,Online,$0,368.94
TXN000114,2023-09-08,58.02,STR013,0,1,PRD002,Visa,58.02,ITM0000128,0,CUST00010,Online,$0,29.26
TXN000115,2022-06-13,63.9,STR004,0,1,PRD002,Debit,63.9,ITM0000129,0,CUST00011,In-Store,$0,248.47
TXN000116,2024-02-24,132.8,STR019,0,1,PRD013,Debit,120.85,ITM0000130,0.09,CUST00011,In-Store,$0,183.87
TXN000117,2024-07-13,545.79,STR001,0,3,PRD008,Debit,1637.37,ITM0000131,0,CUST00011,In-Store,$0,247.55
TXN000118,2023-04-05,68.51,STR008,0,1,PRD012,Debit,68.51,ITM0000132,0,CUST00011,Online,$0,66.34
TXN000119,2024-03-08,63.85,STR012,0,1,PRD002,Debit,63.85,ITM0000134,0,CUST00011,Online,$0,40.25
TXN000120,2022-08-21,44.79,STR023,0,1,PRD011,Debit,44.79,ITM0000135,0,CUST00011,In-Store,$0,109.32
TXN000121,2022-03-11,203.04,STR003,0,2,PRD017,Debit,316.74,ITM0000136,0.22,CUST00011,In-Store,$0,193.93
TXN000122,2023-07-11,146.63,STR030,0,1,PRD013,Debit,146.63,ITM0000137,0,CUST00011,Online,$0,65.63
TXN000123,2023-07-15,544.48,STR004,0,3,PRD008,Cash,1486.43,ITM0000138,0.09,CUST00012,In-Store,$0,84.69
TXN000124,2023-06-28,26.23,STR002,0,2,PRD020,Cash,52.46,ITM0000139,0,CUST00012,Mobile App,$0,22.41
TXN000125,2023-12-24,188.11,STR013,0,1,PRD016,Mastercard,188.11,ITM0000140,0,CUST00013,In-Store,$2.83,95.6
TXN000126,2022-06-20,194.12,STR010,0,1,PRD016,Mastercard,194.12,ITM0000141,0,CUST00013,Online,$2.54,69.01
TXN000127,2024-12-16,402.04,STR030,0,2,PRD019,Mastercard,804.08,ITM0000142,0,CUST00013,In-Store,$22.41,560.46
TXN000128,2022-05-29,30.43,STR008,0,2,PRD004,Mastercard,60.86,ITM0000143,0,CUST00013,In-Store,$14.41,407.36
TXN000129,2023-02-15,250.68,STR030,0,2,PRD015,Mastercard,501.36,ITM0000144,0,CUST00013,In-Store,$21.48,586.14
TXN000130,2022-11-24,56.24,STR023,1,1,PRD002,Mastercard,56.24,ITM0000145,0,CUST00013,In-Store,$3.86,299.53
TXN000131,2024-12-14,75,STR011,0,1,PRD012,Mastercard,75,ITM0000146,0,CUST00013,Online,$2.36,75.84
TXN000132,2022-06-26,275.93,STR029,0,2,PRD010,Mastercard,551.86,ITM0000147,0,CUST00013,In-Store,$3.04,110.76
TXN000133,2023-09-26,26.75,STR005,0,1,PRD020,Mastercard,26.75,ITM0000148,0,CUST00013,In-Store,$19.39,538.32
TXN000134,2022-11-27,25.36,STR026,0,1,PRD020,Mastercard,25.36,ITM0000149,0,CUST00013,Online,$4.86,357.66
TXN000135,2024-12-28,317.3,STR011,0,2,PRD007,Mastercard,634.6,ITM0000152,0,CUST00013,In-Store,$13.16,425.52
TXN000136,2023-03-13,163.18,STR017,0,1,PRD013,Mastercard,163.18,ITM0000153,0,CUST00013,In-Store,$11.84,330.63
TXN000137,2022-11-22,301.45,STR016,1,1,PRD010,Mastercard,301.45,ITM0000154,0,CUST00014,In-Store,$17.84,599.96
TXN000138,2024-12-08,189.57,STR021,0,1,PRD003,Mastercard,189.57,ITM0000155,0,CUST00014,In-Store,$5.20,143.28
TXN000139,2022-06-05,117.28,STR011,0,3,PRD001,Mastercard,351.84,ITM0000156,0,CUST00014,In-Store,$2.52,90.26
TXN000140,2024-06-06,51.5,STR003,0,1,PRD002,Mastercard,51.5,ITM0000158,0,CUST00014,In-Store,$3.11,153.18
TXN000141,2022-12-09,51.09,STR021,0,1,PRD009,Mastercard,51.09,ITM0000159,0,CUST00014,In-Store,$1.80,147.06
TXN000142,2022-10-12,28.24,STR024,0,1,PRD006,Mastercard,22.03,ITM0000160,0.22,CUST00014,Online,$5.10,212.63
TXN000143,2023-07-20,134.62,STR012,0,1,PRD001,Mastercard,134.62,ITM0000161,0,CUST00014,In-Store,$15.07,598.09
TXN000145,2024-07-13,58.77,STR022,0,1,PRD009,Visa,58.77,ITM0000163,0,CUST00015,Mobile App,$0,155.45
TXN000146,2024-01-16,92.01,STR010,0,2,PRD014,Visa,184.02,ITM0000164,0,CUST00015,Mobile App,$0,316.86
TXN000147,2023-01-13,420.92,STR024,0,1,PRD019,Visa,420.92,ITM0000165,0,CUST00015,In-Store,$0,193.1
TXN000148,2024-04-07,130.38,STR021,0,1,PRD013,Visa,101.7,ITM0000166,0.22,CUST00015,In-Store,$0,74.98
TXN000149,2023-06-15,177.49,STR001,0,1,PRD016,Visa,177.49,ITM0000167,0,CUST00015,In-Store,$0,168.54
TXN000150,2022-06-19,80.87,STR021,0,1,PRD014,Visa,63.89,ITM0000169,0.21,CUST00015,Mobile App,$0,135.27
TXN000151,2023-04-01,154.3,STR027,0,2,PRD018,Visa,308.6,ITM0000170,0,CUST00015,In-Store,$0,26.91
TXN000152,2024-05-12,201.37,STR009,0,1,PRD017,Visa,201.37,ITM0000171,0,CUST00015,In-Store,$0,347.93
TXN000153,2024-06-30,375.44,STR004,0,1,PRD007,Visa,375.44,ITM0000172,0,CUST00015,Mobile App,$0,316.76
TXN000154,2024-04-23,540.85,STR022,1,1,PRD005,Mastercard,540.85,ITM0000173,0,CUST00016,In-Store,$13.30,405.7
TXN000155,2022-11-20,64.55,STR006,0,3,PRD002,Mastercard,193.65,ITM0000174,0,CUST00016,In-Store,$4.47,327.74
TXN000156,2022-11-29,544.4,STR018,0,1,PRD005,Mastercard,544.4,ITM0000175,0,CUST00016,In-Store,$2.76,150.4
TXN000157,2023-11-01,50.9,STR012,0,1,PRD009,Mastercard,50.9,ITM0000176,0,CUST00016,Mobile App,$6.83,360.87
TXN000158,2022-01-03,447.93,STR025,0,1,PRD019,Mastercard,447.93,ITM0000177,0,CUST00016,Online,$2.17,63.8
TXN000159,2023-04-13,193.71,STR023,0,2,PRD003,Mastercard,387.42,ITM0000178,0,CUST00016,In-Store,$15.51,516.87
TXN000160,2023-11-29,160.92,STR021,0,1,PRD018,Mastercard,160.92,ITM0000180,0,CUST00016,In-Store,$4.88,140.49
TXN000161,2024-06-13,27,STR030,1,2,PRD006,Mastercard,54,ITM0000181,0,CUST00016,Online,$11.48,430.13
TXN000162,2022-03-25,27.12,STR008,0,1,PRD006,Mastercard,27.12,ITM0000182,0,CUST00016,In-Store,$3.40,323.26
TXN000163,2023-11-26,330.9,STR030,1,1,PRD007,Mastercard,330.9,ITM0000183,0,CUST00016,Mobile App,$7.25,419.46
TXN000164,2022-06-08,140.73,STR005,0,1,PRD013,Mastercard,140.73,ITM0000184,0,CUST00016,Online,$21.26,571.67
TXN000165,2023-06-22,49.27,STR026,0,1,PRD011,Mastercard,40.4,ITM0000185,0.18,CUST00016,In-Store,$10.94,378.96
TXN000166,2024-12-22,305.54,STR030,0,1,PRD010,Mastercard,305.54,ITM0000186,0,CUST00016,Online,$7.52,451.22
TXN000167,2023-12-07,256.1,STR021,0,1,PRD015,Mastercard,256.1,ITM0000187,0,CUST00016,Online,$23.79,596.76
TXN000168,2024-08-09,64.82,STR022,0,2,PRD012,Mastercard,129.64,ITM0000189,0,CUST00016,In-Store,$15.26,511.6
TXN000169,2023-05-29,76.49,STR029,0,1,PRD012,Visa,76.49,ITM0000190,0,CUST00017,In-Store,$0,374.19
TXN000170,2022-01-29,51.98,STR011,1,1,PRD009,Visa,51.98,ITM0000191,0,CUST00017,Online,$0,144.6
TXN000171,2024-10-06,74.24,STR019,0,1,PRD012,Visa,74.24,ITM0000192,0,CUST00017,Online,$0,319.09
TXN000172,2022-02-12,24.43,STR009,0,1,PRD020,Visa,24.43,ITM0000193,0,CUST00017,In-Store,$0,229.27
TXN000173,2022-01-02,58.55,STR020,0,1,PRD002,Visa,52.7,ITM0000194,0.1,CUST00017,Mobile App,$0,337.79
TXN000174,2022-04-11,63.46,STR012,0,1,PRD002,Visa,63.46,ITM0000195,0,CUST00017,Mobile App,$0,283.55
TXN000175,2024-05-28,47.87,STR003,0,1,PRD009,Visa,47.87,ITM0000196,0,CUST00017,Online,$0,30.54
TXN000176,2024-05-10,32.53,STR008,0,1,PRD006,Visa,28.95,ITM0000197,0.11,CUST00017,In-Store,$0,197.39
TXN000177,2024-06-28,256.67,STR003,0,1,PRD015,Visa,256.67,ITM0000198,0,CUST00017,In-Store,$0,360.13
TXN000178,2024-04-28,62.82,STR008,0,2,PRD012,Visa,125.64,ITM0000201,0,CUST00017,In-Store,$0,59.96
TXN000179,2022-03-01,25.94,STR008,0,1,PRD006,Visa,25.94,ITM0000202,0,CUST00018,Online,$0,77.51
TXN000180,2022-07-19,258.64,STR013,0,1,PRD010,Visa,258.64,ITM0000203,0,CUST00018,Online,$0,204.59
TXN000181,2023-02-12,36.72,STR010,0,1,PRD004,Visa,36.72,ITM0000204,0,CUST00018,In-Store,$0,135.91
TXN000182,2022-07-04,55.66,STR029,0,1,PRD009,Visa,52.32,ITM0000205,0.06,CUST00018,Online,$0,146.17
TXN000183,2022-07-08,263.12,STR005,0,1,PRD015,Visa,263.12,ITM0000206,0,CUST00018,Mobile App,$0,115.15
TXN000184,2022-11-05,234.85,STR025,0,2,PRD017,Visa,469.7,ITM0000207,0,CUST00018,In-Store,$0,217.11
TXN000185,2022-05-10,218.56,STR024,0,1,PRD017,Visa,218.56,ITM0000208,0,CUST00018,In-Store,$0,140.43
TXN000186,2023-02-12,60.38,STR011,0,1,PRD009,Mastercard,60.38,ITM0000209,0,CUST00019,In-Store,$9.28,239.85
TXN000187,2022-01-30,297.67,STR019,0,1,PRD010,Mastercard,297.67,ITM0000210,0,CUST00019,Online,$10.06,548.8
TXN000188,2023-01-13,139.4,STR025,0,1,PRD001,Mastercard,139.4,ITM0000211,0,CUST00019,In-Store,$5.32,185.89
TXN000189,2022-12-13,23.59,STR006,0,1,PRD020,Mastercard,23.59,ITM0000212,0,CUST00019,Mobile App,$4.28,217.58
TXN000190,2022-05-23,350.36,STR009,0,1,PRD007,Mastercard,297.81,ITM0000213,0.15,CUST00019,In-Store,$5.01,178.08
TXN000191,2024-11-25,154.44,STR004,1,1,PRD013,Mastercard,131.27,ITM0000214,0.15,CUST00019,In-Store,$8.68,310
TXN000192,2022-12-16,51.02,STR030,0,1,PRD009,Mastercard,51.02,ITM0000215,0,CUST00019,Online,$6.71,323.05
TXN000193,2022-09-04,80.31,STR013,0,1,PRD014,Mastercard,80.31,ITM0000216,0,CUST00019,Online,$23.39,588.91
TXN000194,2022-01-06,127.12,STR027,0,1,PRD001,Mastercard,127.12,ITM0000217,0,CUST00019,In-Store,$10.56,641.58
TXN000195,2022-08-25,174.95,STR010,0,1,PRD016,Mastercard,174.95,ITM0000218,0,CUST00019,In-Store,$7.16,345.07
TXN000196,2023-11-26,73.16,STR002,0,1,PRD012,Mastercard,73.16,ITM0000221,0,CUST00019,In-Store,$7.78,449.57
TXN000197,2023-01-18,45.55,STR016,0,1,PRD011,Mastercard,45.55,ITM0000223,0,CUST00019,In-Store,$3.98,338.54
TXN000199,2022-10-15,157.95,STR024,1,1,PRD013,Mastercard,157.95,ITM0000225,0,CUST00019,In-Store,$1.52,79.03
TXN000200,2023-04-06,80.98,STR029,0,1,PRD014,Mastercard,64.78,ITM0000227,0.2,CUST00019,In-Store,$14.18,419.21
TXN000201,2022-12-19,65.47,STR005,0,1,PRD012,Mastercard,65.47,ITM0000228,0,CUST00019,Online,$13.71,636.22
TXN000202,2023-04-25,62.93,STR025,0,2,PRD002,Mastercard,125.86,ITM0000230,0,CUST00019,In-Store,$9.66,516.92
TXN000203,2022-10-22,117.24,STR026,0,1,PRD001,Mastercard,117.24,ITM0000231,0,CUST00019,Online,$11.92,310.8
TXN000204,2022-07-20,207.51,STR004,0,3,PRD003,Mastercard,622.53,ITM0000233,0,CUST00020,Mobile App,$18.30,466.57
TXN000205,2023-03-15,26.73,STR011,0,1,PRD020,Mastercard,26.73,ITM0000234,0,CUST00020,In-Store,$11.44,474.01
TXN000206,2022-11-30,61.35,STR027,0,1,PRD002,Mastercard,50.92,ITM0000235,0.17,CUST00020,Online,$9.98,377.8
TXN000207,2023-02-21,160.66,STR020,0,1,PRD013,Mastercard,160.66,ITM0000236,0,CUST00020,In-Store,$6.36,526.26
TXN000208,2022-04-27,51.57,STR022,0,2,PRD002,Mastercard,82.51,ITM0000239,0.2,CUST00020,Mobile App,$12.18,421.9
TXN000209,2023-05-05,519.46,STR008,0,1,PRD008,Mastercard,519.46,ITM0000240,0,CUST00020,In-Store,$4.05,164.74
TXN000210,2022-12-31,30.63,STR005,0,1,PRD004,Mastercard,30.63,ITM0000241,0,CUST00020,In-Store,$2.65,83.68
