survey_id,customer_id,survey_date,survey_type,nps_score,satisfaction_score,ease_of_use,would_recommend,payment_method_used
SRV000043,CUST00288,2022-09-08,NPS,1.0,4,4,Maybe,Mastercard
SRV000044,CUST00047,2024-02-02,Post-Purchase,,5,3,Yes,Mastercard
SRV000045,CUST00775,2023-01-28,Post-Purchase,,4,1,No,Debit
SRV000046,CUST00253,2023-11-06,Post-Purchase,,3,1,No,Visa
SRV000047,CUST00349,2022-12-28,Annual,,4,5,Yes,Cash
SRV000048,CUST00289,2022-07-14,Post-Purchase,,5,3,Yes,Mastercard
SRV000049,CUST00143,2022-02-24,Annual,,1,5,No,Mastercard
SRV000050,CUST00928,2022-05-02,Annual,,5,2,No,Mastercard
SRV000051,CUST00511,2024-02-18,Post-Purchase,,5,5,No,Visa
SRV000052,CUST00887,2023-12-22,Annual,,4,3,Yes,Visa
SRV000053,CUST00522,2023-08-05,NPS,6.0,5,5,Maybe,Cash
SRV000054,CUST00749,2022-12-19,Post-Purchase,,4,2,Yes,Cash
SRV000055,CUST00822,2022-10-23,NPS,5.0,3,4,Yes,Visa
SRV000056,CUST00863,2023-11-13,NPS,10.0,4,5,Yes,Visa
SRV000057,CUST00624,2023-08-23,Annual,,4,3,Maybe,Mastercard
SRV000058,CUST00619,2022-11-11,NPS,9.0,5,1,Yes,Mastercard
SRV000059,CUST00929,2023-05-21,Annual,,4,2,No,Debit
SRV000060,CUST00703,2023-10-24,Post-Purchase,,4,5,Yes,Debit
SRV000061,CUST00664,2023-07-12,Post-Purchase,,4,2,Maybe,Mastercard
SRV000062,CUST00051,2023-12-07,NPS,8.0,2,3,Maybe,Cash
SRV000063,CUST00667,2023-04-06,Post-Purchase,,5,4,Maybe,Visa
SRV000064,CUST00284,2024-09-15,Post-Purchase,,3,3,Maybe,Visa
SRV000065,CUST00493,2023-06-11,Post-Purchase,,4,5,Maybe,Mastercard
SRV000066,CUST00637,2024-06-17,NPS,8.0,4,1,Yes,Visa
SRV000067,CUST00034,2024-08-12,Post-Purchase,,4,1,No,Mastercard
SRV000068,CUST00178,2023-02-24,Post-Purchase,,5,3,Yes,Mastercard
SRV000069,CUST00440,2024-11-05,NPS,7.0,4,1,Yes,Mastercard
SRV000070,CUST00108,2023-08-15,Post-Purchase,,5,2,Yes,Mastercard
SRV000071,CUST00195,2023-12-23,Post-Purchase,,5,4,Maybe,Mastercard
SRV000072,CUST00145,2023-07-09,Post-Purchase,,5,5,Maybe,Visa
SRV000073,CUST00159,2024-02-14,NPS,6.0,4,5,No,Mastercard
SRV000074,CUST00144,2023-07-18,Post-Purchase,,3,2,No,Mastercard
SRV000075,CUST00062,2023-01-23,NPS,9.0,5,5,Yes,Mastercard
SRV000076,CUST00343,2024-05-10,NPS,6.0,5,4,Yes,Mastercard
SRV000077,CUST00552,2023-11-03,NPS,7.0,3,4,No,Cash
SRV000078,CUST00903,2023-11-20,Post-Purchase,,5,1,Yes,Mastercard
SRV000079,CUST00069,2024-11-17,NPS,10.0,5,3,Yes,Debit
SRV000080,CUST00720,2024-08-22,Annual,,2,4,Yes,Cash
SRV000081,CUST00565,2022-11-02,Post-Purchase,,4,1,Yes,Gift Card
SRV000082,CUST00081,2023-12-17,NPS,9.0,2,1,Yes,Mastercard
SRV000083,CUST00070,2022-05-15,Post-Purchase,,4,2,Yes,Cash
SRV000084,CUST00946,2022-07-30,NPS,8.0,5,3,No,Debit
SRV000085,CUST00813,2024-12-14,NPS,10.0,5,5,Yes,Mastercard
SRV000086,CUST00906,2022-12-31,NPS,9.0,5,3,Maybe,Mastercard
SRV000087,CUST00409,2022-02-25,Post-Purchase,,1,3,Yes,Visa
SRV000088,CUST00948,2024-08-06,Annual,,3,2,No,Cash
SRV000089,CUST00325,2022-08-05,Post-Purchase,,4,4,No,Debit
SRV000090,CUST00326,2024-12-25,NPS,7.0,4,5,Maybe,Visa
SRV000091,CUST00219,2024-06-14,NPS,10.0,1,2,Yes,Gift Card
SRV000092,CUST00754,2024-10-25,Post-Purchase,,5,4,Yes,Mastercard
SRV000093,CUST00798,2022-01-21,Annual,,4,5,Yes,Visa
SRV000094,CUST00166,2022-01-28,Post-Purchase,,2,4,Maybe,Debit
SRV000095,CUST00244,2024-06-21,NPS,5.0,4,3,Yes,Gift Card
SRV000096,CUST00925,2024-02-16,NPS,8.0,2,3,Yes,Visa
SRV000097,CUST00050,2022-09-28,NPS,2.0,4,4,Maybe,Mastercard
SRV000098,CUST00689,2023-07-13,NPS,10.0,5,5,Yes,Mastercard
SRV000099,CUST00042,2023-05-16,NPS,5.0,4,3,No,Debit
SRV000100,CUST00188,2024-07-12,Post-Purchase,,4,4,Yes,Debit
SRV000101,CUST00755,2024-01-24,NPS,0.0,5,2,Yes,Visa
SRV000102,CUST00039,2023-10-14,NPS,3.0,5,5,Yes,Cash
SRV000103,CUST00589,2024-09-24,Post-Purchase,,4,2,Maybe,Mastercard
SRV000104,CUST00039,2024-02-28,NPS,8.0,4,4,No,Cash
SRV000105,CUST00860,2022-09-06,Post-Purchase,,5,1,Yes,Mastercard
SRV000106,CUST00866,2022-03-05,NPS,0.0,3,2,Yes,Debit
SRV000107,CUST00206,2023-11-08,Post-Purchase,,2,2,No,Debit
SRV000108,CUST00839,2022-06-13,NPS,9.0,3,3,Yes,Debit
SRV000109,CUST00957,2024-10-30,NPS,7.0,3,4,Yes,Mastercard
SRV000110,CUST00150,2022-02-03,Post-Purchase,,5,4,Yes,Visa
SRV000111,CUST00251,2023-04-23,Annual,,4,3,Yes,Mastercard
SRV000112,CUST00496,2022-10-22,Post-Purchase,,3,2,Yes,Visa
SRV000113,CUST00129,2024-01-20,Annual,,3,3,Maybe,Visa
SRV000114,CUST00913,2022-05-30,Post-Purchase,,3,5,No,Visa
SRV000115,CUST00608,2022-12-30,Post-Purchase,,5,1,No,Mastercard
SRV000116,CUST00507,2023-10-29,NPS,2.0,5,5,Yes,Cash
SRV000117,CUST00931,2023-05-01,Post-Purchase,,5,1,Yes,Mastercard
SRV000118,CUST00191,2022-04-07,NPS,8.0,4,5,No,Gift Card
SRV000119,CUST00578,2022-03-22,Annual,,4,1,Maybe,Mastercard
SRV000120,CUST00022,2022-01-18,Post-Purchase,,4,5,No,Debit
SRV000121,CUST00317,2022-12-02,NPS,10.0,4,2,Yes,Mastercard
SRV000122,CUST00335,2022-07-01,Post-Purchase,,4,2,No,Cash
SRV000123,CUST00160,2024-02-14,Post-Purchase,,5,1,Yes,Mastercard
SRV000124,CUST00599,2022-12-22,Post-Purchase,,3,5,Yes,Visa
SRV000125,CUST00925,2024-03-02,Post-Purchase,,2,5,No,Visa
SRV000126,CUST00573,2024-08-15,Post-Purchase,,3,4,Yes,Debit
SRV000127,CUST00413,2024-06-28,Post-Purchase,,5,5,Yes,Mastercard
SRV000128,CUST00198,2022-09-06,NPS,7.0,5,4,Yes,Mastercard
SRV000129,CUST00756,2024-01-23,NPS,2.0,3,5,Yes,Cash
SRV000130,CUST00785,2024-01-15,NPS,3.0,4,5,Yes,Visa
SRV000131,CUST00598,2022-05-12,Post-Purchase,,5,2,Yes,Mastercard
SRV000132,CUST00963,2024-01-20,Annual,,4,1,No,Visa
SRV000133,CUST00512,2022-05-24,Post-Purchase,,5,1,No,Mastercard
SRV000134,CUST00620,2022-03-16,Annual,,4,2,Yes,Mastercard
SRV000135,CUST00624,2024-03-24,NPS,10.0,4,2,Yes,Mastercard
SRV000136,CUST00412,2023-04-26,NPS,5.0,5,3,No,Debit
SRV000137,CUST00750,2023-09-30,NPS,10.0,4,3,Yes,Visa
SRV000138,CUST00054,2024-02-17,NPS,9.0,5,5,No,Debit
SRV000139,CUST00095,2024-06-18,NPS,1.0,3,5,Maybe,Debit
SRV000140,CUST00481,2023-09-05,Post-Purchase,,5,5,No,Debit
SRV000141,CUST00464,2023-02-04,NPS,9.0,3,1,No,Mastercard
SRV000142,CUST00716,2024-01-06,Post-Purchase,,5,2,Yes,Visa
SRV000143,CUST00864,2022-04-30,NPS,8.0,2,3,Yes,Gift Card
SRV000144,CUST00052,2022-11-11,NPS,4.0,4,1,No,Cash
SRV000145,CUST00862,2024-04-08,Post-Purchase,,5,3,Yes,Debit
SRV000146,CUST00974,2024-04-02,NPS,10.0,3,3,Yes,Gift Card
SRV000147,CUST00084,2022-10-28,Post-Purchase,,4,3,Yes,Mastercard
SRV000148,CUST00360,2024-05-02,NPS,10.0,4,2,Yes,Mastercard
SRV000149,CUST00957,2024-10-26,Post-Purchase,,1,3,No,Mastercard
SRV000150,CUST00717,2022-12-08,Post-Purchase,,2,1,Maybe,Mastercard
SRV000151,CUST00436,2022-03-18,Annual,,3,4,Yes,Mastercard
SRV000152,CUST00136,2023-09-14,NPS,8.0,5,3,Maybe,Debit
SRV000153,CUST00826,2024-01-02,Post-Purchase,,5,5,Yes,Mastercard
SRV000154,CUST00093,2022-04-30,NPS,8.0,1,2,Yes,Cash
SRV000155,CUST00507,2023-03-29,NPS,0.0,5,4,Yes,Cash
SRV000156,CUST00747,2024-04-01,Post-Purchase,,2,2,Yes,Mastercard
SRV000157,CUST00912,2022-02-16,NPS,6.0,2,3,Yes,Cash
SRV000158,CUST00649,2022-06-28,NPS,8.0,2,4,Yes,Mastercard
SRV000159,CUST00910,2022-11-16,Post-Purchase,,5,3,Yes,Mastercard
SRV000160,CUST00765,2023-12-03,Post-Purchase,,3,4,No,Debit
SRV000161,CUST00706,2022-07-14,NPS,10.0,4,2,Maybe,Gift Card
SRV000162,CUST00557,2023-01-31,NPS,4.0,2,2,Yes,Debit
SRV000163,CUST00539,2024-08-05,Post-Purchase,,2,1,Yes,Visa
SRV000164,CUST00949,2023-04-07,Post-Purchase,,5,5,Yes,Mastercard
SRV000165,CUST00363,2024-08-17,Post-Purchase,,5,3,Yes,Debit
SRV000166,CUST00309,2024-09-18,Annual,,4,5,Yes,Cash
SRV000167,CUST00430,2024-03-08,Post-Purchase,,3,4,No,Debit
SRV000168,CUST00139,2024-07-05,NPS,10.0,5,4,Maybe,Mastercard
SRV000169,CUST00292,2022-12-10,Post-Purchase,,5,4,Yes,Mastercard
SRV000170,CUST00504,2024-03-14,Post-Purchase,,2,3,No,Debit
SRV000171,CUST00484,2023-12-22,Annual,,5,1,Yes,Mastercard
SRV000172,CUST00065,2022-03-07,NPS,8.0,4,4,Yes,Mastercard
SRV000173,CUST00538,2022-03-13,Annual,,2,2,Yes,Visa
SRV000174,CUST00572,2024-05-13,NPS,9.0,4,2,Maybe,Mastercard
SRV000175,CUST00601,2024-06-22,Post-Purchase,,5,3,No,Mastercard
SRV000176,CUST00891,2022-07-09,NPS,5.0,2,5,Maybe,Visa
SRV000177,CUST00045,2022-03-27,NPS,7.0,5,3,Maybe,Mastercard
SRV000178,CUST00351,2024-09-04,Annual,,5,3,Yes,Debit
SRV000179,CUST00841,2023-07-24,Post-Purchase,,3,3,Maybe,Visa
SRV000180,CUST00183,2023-12-20,Post-Purchase,,3,5,No,Mastercard
SRV000181,CUST00171,2022-04-15,Post-Purchase,,3,4,Yes,Mastercard
SRV000182,CUST00789,2023-09-19,NPS,9.0,3,5,Yes,Mastercard
SRV000183,CUST00998,2024-08-16,Post-Purchase,,5,1,Yes,Gift Card
SRV000184,CUST00916,2023-05-18,NPS,8.0,5,4,Yes,Visa
SRV000185,CUST00383,2023-09-08,NPS,7.0,4,1,Yes,Visa
SRV000186,CUST00188,2024-02-14,Annual,,4,3,Yes,Debit
SRV000187,CUST00272,2023-10-14,Post-Purchase,,5,2,No,Mastercard
SRV000188,CUST00343,2024-03-18,Post-Purchase,,5,5,Maybe,Mastercard
SRV000189,CUST00978,2022-07-13,Annual,,4,5,Yes,Mastercard
SRV000190,CUST00901,2023-07-12,NPS,6.0,3,5,Yes,Visa
SRV000191,CUST00865,2022-02-21,Post-Purchase,,1,4,Maybe,Mastercard
SRV000192,CUST00798,2023-05-10,Post-Purchase,,4,4,No,Visa
SRV000193,CUST00168,2022-07-31,Post-Purchase,,5,2,Yes,Gift Card
SRV000194,CUST00735,2023-05-27,Annual,,5,4,Yes,Mastercard
SRV000195,CUST00822,2023-10-28,NPS,0.0,4,3,Maybe,Visa
SRV000196,CUST00054,2023-06-05,NPS,9.0,3,5,Yes,Debit
SRV000197,CUST00212,2022-10-06,Post-Purchase,,5,4,No,Mastercard
SRV000198,CUST00741,2022-01-18,Post-Purchase,,1,2,Yes,Visa
SRV000199,CUST00006,2024-12-17,NPS,1.0,3,2,No,Mastercard
SRV000200,CUST00703,2024-10-05,Annual,,5,3,No,Debit
SRV000201,CUST00054,2022-07-10,Post-Purchase,,5,3,Maybe,Debit
SRV000202,CUST00174,2022-10-24,Post-Purchase,,4,3,Yes,Cash
SRV000203,CUST00244,2023-04-30,Annual,,4,5,Maybe,Gift Card
SRV000204,CUST00893,2023-10-15,Annual,,5,5,Yes,Mastercard
SRV000205,CUST00172,2024-06-11,NPS,8.0,5,3,Yes,Debit
SRV000206,CUST00708,2022-08-27,NPS,4.0,5,1,Yes,Debit
SRV000207,CUST00548,2024-03-04,Post-Purchase,,4,2,Yes,Mastercard
SRV000208,CUST00930,2022-11-05,NPS,6.0,5,4,Yes,Mastercard
SRV000209,CUST00475,2022-10-11,Post-Purchase,,2,1,Yes,Cash
SRV000210,CUST00698,2023-05-15,NPS,10.0,5,1,Yes,Debit
SRV000211,CUST00678,2022-10-09,Post-Purchase,,2,4,Yes,Debit
SRV000212,CUST00187,2024-07-23,Annual,,3,2,Yes,Debit
SRV000213,CUST00055,2024-10-17,NPS,8.0,4,3,No,Mastercard
SRV000214,CUST00183,2022-05-28,NPS,9.0,5,1,No,Mastercard
SRV000215,CUST00430,2022-07-05,Annual,,4,2,Yes,Debit
SRV000216,CUST00356,2022-07-17,Post-Purchase,,4,1,Yes,Mastercard
SRV000217,CUST00239,2023-10-07,NPS,8.0,2,4,Yes,Mastercard
SRV000218,CUST00136,2024-08-26,Post-Purchase,,5,2,Yes,Debit
SRV000219,CUST00750,2022-12-11,Post-Purchase,,5,1,Yes,Visa
SRV000220,CUST00540,2022-07-04,Post-Purchase,,3,4,Yes,Debit
SRV000221,CUST00502,2024-10-22,Post-Purchase,,4,1,No,Visa
SRV000222,CUST00312,2022-07-23,Post-Purchase,,5,1,Yes,Debit
SRV000223,CUST00650,2024-07-17,Annual,,2,3,Maybe,Mastercard
SRV000224,CUST00269,2022-03-18,Post-Purchase,,5,3,No,Visa
SRV000225,CUST00510,2023-08-26,Annual,,5,2,Maybe,Mastercard
SRV000226,CUST00635,2024-12-20,Post-Purchase,,3,2,Yes,Mastercard
SRV000227,CUST00463,2024-06-19,NPS,2.0,3,1,Yes,Visa
SRV000228,CUST00983,2022-08-31,Post-Purchase,,4,1,Maybe,Visa
SRV000229,CUST00477,2024-05-08,NPS,4.0,5,5,No,Mastercard
SRV000230,CUST00902,2023-04-20,Post-Purchase,,5,5,Maybe,Mastercard
SRV000231,CUST00465,2022-07-21,Post-Purchase,,4,2,No,Visa
SRV000232,CUST00496,2023-12-23,Annual,,5,3,No,Visa
SRV000233,CUST00269,2022-11-07,Post-Purchase,,1,5,Yes,Visa
SRV000234,CUST00576,2023-08-04,Annual,,4,2,Maybe,Debit
SRV000235,CUST00146,2022-01-06,Post-Purchase,,3,2,Yes,Cash
SRV000236,CUST00442,2022-02-28,NPS,2.0,5,4,Yes,Mastercard
SRV000237,CUST00710,2023-06-12,Post-Purchase,,4,2,Yes,Debit
SRV000238,CUST00474,2024-03-28,Post-Purchase,,1,3,No,Visa
SRV000239,CUST00492,2023-12-07,NPS,9.0,5,5,Yes,Debit
SRV000240,CUST00494,2022-01-14,NPS,7.0,5,5,Yes,Cash
SRV000241,CUST00285,2023-06-03,Post-Purchase,,5,5,Yes,Cash
SRV000242,CUST00771,2023-11-12,NPS,5.0,4,3,Yes,Visa
SRV000243,CUST00099,2022-11-27,NPS,9.0,5,2,No,Mastercard
SRV000244,CUST00339,2023-10-14,NPS,5.0,3,5,Yes,Debit
SRV000245,CUST00970,2024-02-03,NPS,7.0,5,2,Maybe,Visa
SRV000246,CUST00501,2024-01-07,Annual,,4,4,Maybe,Mastercard
SRV000247,CUST00726,2022-11-26,NPS,5.0,3,4,No,Visa
SRV000248,CUST00473,2024-10-22,Post-Purchase,,4,5,Maybe,Visa
SRV000249,CUST00312,2023-07-22,NPS,8.0,4,2,Yes,Debit
SRV000250,CUST00119,2023-07-20,Post-Purchase,,3,1,Yes,Visa
SRV000251,CUST00584,2024-12-09,Post-Purchase,,4,5,No,Cash
SRV000252,CUST00154,2022-04-08,Post-Purchase,,4,4,Yes,Mastercard
SRV000253,CUST00679,2024-03-10,Post-Purchase,,4,2,Yes,Cash
SRV000254,CUST00374,2024-04-29,Post-Purchase,,3,5,Yes,Mastercard
SRV000255,CUST00646,2024-09-23,Annual,,5,3,No,Mastercard
SRV000256,CUST00452,2022-08-17,Annual,,5,2,Maybe,Mastercard
SRV000257,CUST00200,2024-10-14,Post-Purchase,,4,4,Maybe,Visa
SRV000258,CUST00579,2023-09-21,NPS,2.0,4,5,No,Mastercard
SRV000259,CUST00175,2024-02-05,Post-Purchase,,2,5,Yes,Mastercard
SRV000260,CUST00243,2024-01-20,Post-Purchase,,5,2,Yes,Gift Card
SRV000261,CUST00430,2023-12-12,Annual,,3,5,Yes,Debit
SRV000262,CUST00613,2023-04-25,NPS,6.0,4,1,No,Debit
SRV000263,CUST00493,2023-10-23,Post-Purchase,,5,5,Maybe,Mastercard
SRV000264,CUST00656,2022-07-25,Post-Purchase,,2,4,No,Debit
SRV000265,CUST00711,2024-09-02,NPS,6.0,5,1,Yes,Visa
SRV000266,CUST00343,2024-01-10,NPS,10.0,3,4,Yes,Mastercard
SRV000267,CUST00419,2022-03-20,Post-Purchase,,4,2,Yes,Debit
SRV000268,CUST00384,2022-03-16,Post-Purchase,,4,1,Maybe,Debit
SRV000269,CUST00393,2024-09-02,Post-Purchase,,3,4,Maybe,Visa
SRV000270,CUST00931,2023-07-31,Post-Purchase,,3,3,Yes,Mastercard
SRV000271,CUST00917,2024-09-16,NPS,6.0,4,5,Yes,Debit
SRV000272,CUST00383,2022-03-20,Post-Purchase,,3,3,Yes,Visa
SRV000273,CUST00203,2023-09-15,Post-Purchase,,5,1,No,Mastercard
SRV000274,CUST00996,2023-01-29,Annual,,4,4,Yes,Cash
SRV000275,CUST00231,2024-05-18,NPS,3.0,4,4,Yes,Visa
SRV000276,CUST00376,2024-04-19,NPS,7.0,4,1,Yes,Debit
SRV000277,CUST00303,2023-10-01,NPS,6.0,4,5,Yes,Mastercard
SRV000278,CUST00383,2022-01-02,NPS,8.0,4,3,Yes,Visa
SRV000279,CUST00330,2024-08-16,NPS,9.0,3,4,No,Mastercard
SRV000280,CUST00229,2023-08-28,Annual,,2,5,Maybe,Mastercard
SRV000281,CUST00693,2022-02-24,Post-Purchase,,3,5,Maybe,Gift Card
SRV000282,CUST00397,2022-01-23,NPS,6.0,4,5,No,Mastercard
SRV000283,CUST00699,2023-12-08,Post-Purchase,,4,1,No,Debit
SRV000284,CUST00246,2022-07-27,Post-Purchase,,5,4,Yes,Mastercard
SRV000285,CUST00718,2024-09-29,Post-Purchase,,5,2,No,Debit
SRV000286,CUST00529,2023-03-31,Post-Purchase,,5,4,Yes,Mastercard
SRV000287,CUST00578,2023-03-26,Post-Purchase,,4,2,Yes,Mastercard
SRV000288,CUST00158,2023-01-03,NPS,5.0,3,4,Yes,Debit
SRV000289,CUST00485,2024-11-11,NPS,1.0,3,2,Yes,Cash
SRV000290,CUST00284,2022-12-23,Annual,,3,4,Maybe,Visa
SRV000291,CUST00210,2022-05-04,Post-Purchase,,5,2,Yes,Mastercard
SRV000292,CUST00385,2024-06-15,NPS,10.0,5,3,No,Mastercard
SRV000293,CUST00586,2023-05-31,NPS,8.0,4,3,Yes,Cash
SRV000294,CUST00325,2022-09-22,Post-Purchase,,5,5,Yes,Debit
SRV000295,CUST00302,2024-11-24,NPS,6.0,5,3,No,Mastercard
SRV000296,CUST00873,2022-11-18,Post-Purchase,,4,1,No,Debit
SRV000297,CUST00166,2023-08-01,Post-Purchase,,1,4,Yes,Debit
SRV000298,CUST00224,2023-11-19,Post-Purchase,,4,4,Yes,Mastercard
SRV000299,CUST00515,2023-06-15,NPS,5.0,1,4,No,Debit
SRV000300,CUST00074,2023-11-20,NPS,7.0,4,1,Maybe,Cash
SRV000301,CUST00342,2023-08-18,NPS,9.0,4,2,No,Mastercard
SRV000302,CUST00762,2023-03-16,Post-Purchase,,3,1,No,Cash
SRV000303,CUST00741,2022-03-14,Post-Purchase,,5,3,No,Visa
SRV000304,CUST00897,2024-05-19,NPS,10.0,4,3,Yes,Mastercard
SRV000305,CUST00351,2023-04-19,NPS,8.0,3,3,Maybe,Debit
SRV000306,CUST00771,2024-02-11,Post-Purchase,,4,1,No,Visa
SRV000307,CUST00364,2024-04-23,NPS,0.0,5,1,Yes,Mastercard
SRV000308,CUST00824,2024-02-19,Post-Purchase,,4,4,Yes,Mastercard
SRV000309,CUST00320,2023-09-25,Post-Purchase,,5,3,Yes,Mastercard
SRV000310,CUST00170,2024-01-23,Post-Purchase,,5,2,Yes,Mastercard
SRV000311,CUST00713,2022-05-02,Post-Purchase,,3,5,No,Cash
SRV000312,CUST00811,2023-12-29,NPS,7.0,5,4,Maybe,Mastercard
SRV000313,CUST00935,2022-01-15,Annual,,5,1,Yes,Visa
SRV000314,CUST00961,2024-11-30,NPS,9.0,5,5,Yes,Mastercard
SRV000315,CUST00503,2022-04-01,NPS,8.0,5,5,No,Debit
SRV000316,CUST00534,2023-08-05,NPS,7.0,3,1,Maybe,Cash
SRV000317,CUST00733,2024-12-20,Annual,,5,4,Yes,Visa
SRV000318,CUST00897,2023-05-18,NPS,7.0,4,1,Yes,Mastercard
SRV000319,CUST00085,2023-01-26,Annual,,5,4,No,Cash
SRV000320,CUST00068,2024-01-13,Post-Purchase,,4,4,Yes,Mastercard
SRV000321,CUST00559,2022-08-14,NPS,9.0,4,5,No,Mastercard
SRV000322,CUST00306,2024-03-23,Annual,,4,5,No,Mastercard
SRV000323,CUST00880,2024-08-18,Annual,,2,5,No,Visa
SRV000324,CUST00833,2022-06-10,NPS,4.0,3,2,Yes,Debit
SRV000325,CUST00238,2024-11-25,Post-Purchase,,4,4,Yes,Debit
SRV000326,CUST00687,2024-06-28,NPS,9.0,4,2,No,Visa
SRV000327,CUST00114,2023-09-04,NPS,7.0,5,4,Yes,Mastercard
SRV000328,CUST00009,2022-11-21,Post-Purchase,,4,4,Yes,Mastercard
SRV000329,CUST00800,2024-09-11,Annual,,5,3,Yes,Debit
SRV000330,CUST00680,2022-06-23,Post-Purchase,,3,1,Yes,Debit
SRV000331,CUST00583,2023-05-28,Post-Purchase,,4,4,No,Debit
SRV000332,CUST00328,2022-01-25,Post-Purchase,,4,1,Yes,Debit
SRV000333,CUST00932,2024-03-02,Post-Purchase,,4,3,Yes,Mastercard
SRV000334,CUST00819,2024-08-18,Post-Purchase,,1,4,Maybe,Visa
SRV000335,CUST00207,2023-07-05,Post-Purchase,,4,2,Maybe,Debit
SRV000336,CUST00336,2022-02-20,Annual,,1,3,Yes,Mastercard
SRV000337,CUST00410,2024-09-14,Post-Purchase,,5,3,Yes,Debit
SRV000338,CUST00302,2022-02-20,Annual,,4,3,No,Mastercard
SRV000339,CUST00446,2024-08-09,Post-Purchase,,3,3,Yes,Mastercard
SRV000340,CUST00779,2022-02-03,NPS,6.0,5,1,No,Mastercard
SRV000341,CUST00867,2023-08-29,NPS,8.0,4,1,No,Mastercard
SRV000342,CUST00170,2024-04-10,Post-Purchase,,5,1,Yes,Mastercard
SRV000343,CUST00210,2024-03-17,Annual,,4,4,Maybe,Mastercard
SRV000344,CUST00069,2023-07-25,Post-Purchase,,4,1,Yes,Debit
SRV000345,CUST00271,2024-03-13,Post-Purchase,,4,4,Yes,Mastercard
SRV000346,CUST00727,2022-11-28,NPS,7.0,5,2,Yes,Visa
SRV000347,CUST00216,2023-02-20,NPS,8.0,4,4,Yes,Mastercard
SRV000348,CUST00188,2024-12-02,NPS,6.0,3,5,No,Debit
SRV000349,CUST00374,2024-04-13,NPS,3.0,3,1,Maybe,Mastercard
SRV000350,CUST00573,2024-01-12,NPS,4.0,3,4,Yes,Debit
