engagement_id,customer_id,engagement_date,engagement_type,points_value,channel,session_duration_sec,conversion_flag
ENG000162,CUST00373,2023-05-30,Points Earn,311,In-Store,0,0
ENG000163,CUST00658,2022-10-03,App Login,0,In-Store,904,0
ENG000164,CUST00051,2024-07-08,Points Earn,123,Online,0,0
ENG000165,CUST00102,2023-08-11,Points Redeem,475,In-Store,0,0
ENG000166,CUST00343,2024-07-05,Points Redeem,406,In-Store,0,0
ENG000167,CUST00548,2024-09-02,Points Earn,695,Online,0,0
ENG000168,CUST00404,2024-08-01,Points Earn,158,Mobile App,0,0
ENG000169,CUST00060,2024-03-29,Promo Click,0,In-Store,1324,0
ENG000170,CUST00922,2023-01-06,Points Earn,189,Mobile App,0,0
ENG000171,CUST00179,2022-07-13,Points Redeem,384,Online,0,0
ENG000172,CUST00822,2024-03-28,Points Earn,116,In-Store,0,0
ENG000173,CUST00852,2023-07-27,Points Earn,146,Online,0,0
ENG000174,CUST00445,2022-01-07,Promo Click,0,Online,1208,1
ENG000175,CUST00249,2024-04-18,App Login,0,In-Store,559,0
ENG000176,CUST00883,2022-01-03,Promo Click,0,In-Store,1156,1
ENG000177,CUST00708,2024-04-07,Points Redeem,82,In-Store,0,0
ENG000178,CUST00318,2023-01-12,App Login,0,Mobile App,1797,0
ENG000179,CUST00342,2024-02-24,Points Redeem,619,In-Store,0,0
ENG000180,CUST00419,2022-07-20,Points Redeem,43,In-Store,0,0
ENG000181,CUST00160,2023-02-06,Promo Click,0,In-Store,1571,0
ENG000182,CUST00826,2024-11-03,Points Redeem,139,In-Store,0,0
ENG000183,CUST00443,2023-05-28,Points Redeem,188,Online,0,0
ENG000184,CUST00643,2022-07-04,Points Redeem,431,Mobile App,0,0
ENG000185,CUST00741,2024-07-09,Points Redeem,96,Online,0,0
ENG000186,CUST00636,2022-03-14,Points Earn,131,In-Store,0,0
ENG000187,CUST00733,2022-03-15,Points Earn,164,In-Store,0,0
ENG000188,CUST00775,2023-08-24,Referral,0,In-Store,0,0
ENG000189,CUST00630,2023-07-04,Points Earn,88,In-Store,0,0
ENG000190,CUST00796,2023-01-22,Promo Click,0,In-Store,626,0
ENG000191,CUST00570,2023-12-14,Points Earn,439,Mobile App,0,0
ENG000192,CUST00517,2024-03-07,App Login,0,In-Store,1113,0
ENG000193,CUST00751,2023-01-19,Points Earn,87,Mobile App,0,0
ENG000194,CUST00160,2023-09-19,Points Earn,781,In-Store,0,0
ENG000195,CUST00981,2024-08-06,Points Earn,322,In-Store,0,0
ENG000196,CUST00218,2023-10-24,Points Redeem,474,Online,0,0
ENG000197,CUST00374,2023-05-26,App Login,0,In-Store,338,0
ENG000198,CUST00056,2022-02-15,App Login,0,Mobile App,396,0
ENG000199,CUST00330,2023-11-24,Points Redeem,723,Mobile App,0,0
ENG000200,CUST00944,2024-11-04,App Login,0,In-Store,279,0
ENG000201,CUST00239,2022-11-19,Points Redeem,786,Online,0,0
ENG000202,CUST00198,2023-05-13,App Login,0,Online,1099,0
ENG000203,CUST00514,2023-10-30,Points Earn,723,Mobile App,0,0
ENG000204,CUST00116,2024-08-27,Points Earn,589,Online,0,0
ENG000205,CUST00432,2024-02-17,App Login,0,In-Store,305,0
ENG000206,CUST00717,2024-07-28,Points Earn,449,Online,0,0
ENG000207,CUST00812,2022-02-07,Promo Click,0,In-Store,486,0
ENG000208,CUST00208,2023-08-29,Points Earn,681,Mobile App,0,0
ENG000209,CUST00444,2022-12-17,Promo Click,0,In-Store,1792,0
ENG000210,CUST00404,2022-04-17,Promo Click,0,Mobile App,637,0
ENG000211,CUST00553,2023-09-23,Points Redeem,729,In-Store,0,0
ENG000212,CUST00433,2022-10-08,App Login,0,In-Store,337,0
ENG000213,CUST00752,2024-11-09,Points Earn,357,Mobile App,0,0
ENG000214,CUST00422,2023-02-04,Points Redeem,763,In-Store,0,0
ENG000215,CUST00329,2022-06-04,App Login,0,In-Store,1773,0
ENG000216,CUST00140,2024-12-29,Points Redeem,323,In-Store,0,0
ENG000217,CUST00056,2022-07-26,Promo Click,0,In-Store,873,1
ENG000218,CUST00845,2023-01-29,Promo Click,0,In-Store,1084,0
ENG000219,CUST00858,2022-08-08,Promo Click,0,In-Store,795,0
ENG000220,CUST00704,2023-06-15,Points Redeem,325,Online,0,0
ENG000221,CUST00037,2023-11-17,App Login,0,In-Store,109,0
ENG000222,CUST00757,2023-09-28,Promo Click,0,Online,1614,1
ENG000223,CUST00562,2023-11-26,Promo Click,0,Online,881,0
ENG000224,CUST00689,2022-05-21,Promo Click,0,In-Store,820,1
ENG000225,CUST00858,2022-03-21,Points Earn,283,Online,0,0
ENG000226,CUST00198,2023-11-08,App Login,0,In-Store,349,0
ENG000227,CUST00741,2024-07-22,Promo Click,0,In-Store,793,0
ENG000228,CUST00192,2022-07-10,Points Redeem,685,In-Store,0,0
ENG000229,CUST00479,2022-06-04,Promo Click,0,Mobile App,1646,0
ENG000230,CUST00186,2022-01-27,Points Redeem,477,In-Store,0,0
ENG000231,CUST00665,2022-11-22,Points Redeem,180,In-Store,0,0
ENG000232,CUST00525,2023-03-22,Points Redeem,435,In-Store,0,0
ENG000233,CUST00553,2023-09-22,Points Redeem,435,Online,0,0
ENG000234,CUST00507,2024-05-30,Promo Click,0,Online,1700,0
ENG000235,CUST00707,2023-08-19,Points Redeem,154,In-Store,0,0
ENG000236,CUST00289,2023-03-24,Promo Click,0,Mobile App,51,0
ENG000237,CUST00508,2024-12-01,Referral,0,In-Store,0,0
ENG000238,CUST00082,2024-09-14,Points Redeem,671,In-Store,0,0
ENG000239,CUST00609,2022-12-03,Points Redeem,157,In-Store,0,0
ENG000240,CUST00748,2024-11-22,Points Earn,276,In-Store,0,0
ENG000241,CUST00180,2024-01-08,Points Earn,111,In-Store,0,0
ENG000242,CUST00045,2023-12-02,Promo Click,0,Online,278,1
ENG000243,CUST00079,2022-08-31,App Login,0,Mobile App,1709,0
ENG000244,CUST00486,2022-12-03,Promo Click,0,Online,748,0
ENG000245,CUST00149,2022-01-16,Referral,0,In-Store,0,0
ENG000246,CUST00985,2023-11-10,Points Earn,486,Online,0,0
ENG000247,CUST00286,2022-03-06,Points Earn,81,In-Store,0,0
ENG000248,CUST00750,2022-05-05,Promo Click,0,Online,1771,1
ENG000249,CUST00114,2023-03-03,Points Earn,218,In-Store,0,0
ENG000250,CUST00169,2024-10-24,Promo Click,0,Online,208,1
ENG000251,CUST00778,2023-10-09,App Login,0,Online,1576,0
ENG000252,CUST00975,2024-07-28,Points Earn,197,Online,0,0
ENG000253,CUST00652,2024-09-15,Promo Click,0,In-Store,1538,0
ENG000254,CUST00472,2024-09-10,App Login,0,In-Store,1389,0
ENG000255,CUST00062,2023-03-13,App Login,0,Mobile App,329,0
ENG000256,CUST00524,2022-09-13,Points Earn,192,Mobile App,0,0
ENG000257,CUST00186,2023-08-03,Points Redeem,120,Mobile App,0,0
ENG000258,CUST00714,2023-02-12,Points Redeem,36,In-Store,0,0
ENG000259,CUST00796,2022-03-25,Points Redeem,133,In-Store,0,0
ENG000260,CUST00029,2022-04-08,Points Earn,538,Online,0,0
ENG000261,CUST00680,2022-11-28,Points Earn,142,In-Store,0,0
ENG000262,CUST00317,2022-07-18,App Login,0,Mobile App,1485,0
ENG000263,CUST00520,2023-12-18,Points Earn,637,Mobile App,0,0
ENG000264,CUST00816,2024-06-15,App Login,0,Online,428,0
ENG000265,CUST00736,2023-08-13,Points Redeem,370,Online,0,0
ENG000266,CUST00166,2022-08-25,Referral,0,In-Store,0,0
ENG000267,CUST00474,2023-05-07,Points Earn,158,In-Store,0,0
ENG000268,CUST00441,2023-07-31,Points Earn,180,In-Store,0,0
ENG000269,CUST00931,2023-06-28,Promo Click,0,Online,411,0
ENG000270,CUST00173,2022-09-27,Points Earn,560,In-Store,0,0
ENG000271,CUST00915,2022-01-22,Promo Click,0,Online,988,0
ENG000272,CUST00643,2024-12-22,Points Earn,365,Online,0,0
ENG000273,CUST00058,2023-12-02,Points Earn,267,In-Store,0,0
ENG000274,CUST00652,2023-06-21,Points Earn,473,Online,0,0
ENG000275,CUST00827,2022-04-12,App Login,0,Mobile App,1289,0
ENG000276,CUST00094,2022-11-25,Promo Click,0,In-Store,530,0
ENG000277,CUST00149,2022-03-29,Promo Click,0,Online,727,0
ENG000278,CUST00661,2024-05-27,Points Earn,378,In-Store,0,0
ENG000279,CUST00774,2024-12-01,Points Redeem,370,In-Store,0,0
ENG000280,CUST00640,2024-07-08,Promo Click,0,In-Store,1677,1
ENG000281,CUST00194,2023-06-12,Points Redeem,163,Mobile App,0,0
ENG000282,CUST00655,2022-07-03,Promo Click,0,In-Store,1226,0
ENG000283,CUST00691,2023-07-15,Points Redeem,56,In-Store,0,0
ENG000284,CUST00745,2022-05-18,App Login,0,In-Store,1145,0
ENG000285,CUST00215,2023-07-27,App Login,0,Online,1002,0
ENG000286,CUST00647,2024-02-20,Points Earn,12,In-Store,0,0
ENG000287,CUST00906,2024-03-25,App Login,0,Online,998,0
ENG000288,CUST00274,2023-10-08,Points Redeem,407,In-Store,0,0
ENG000289,CUST00985,2023-06-27,Points Earn,259,Mobile App,0,0
ENG000290,CUST00834,2022-02-14,Points Earn,710,In-Store,0,0
ENG000291,CUST00686,2022-05-19,Points Redeem,382,Mobile App,0,0
ENG000292,CUST00480,2024-06-05,Points Earn,622,In-Store,0,0
ENG000293,CUST00995,2024-10-06,Points Earn,149,In-Store,0,0
ENG000294,CUST00498,2024-01-29,Points Earn,123,Mobile App,0,0
ENG000295,CUST00104,2024-01-07,App Login,0,Mobile App,672,0
ENG000296,CUST00856,2022-03-07,Points Earn,248,Mobile App,0,0
ENG000297,CUST00913,2024-04-21,Points Earn,156,Mobile App,0,0
ENG000298,CUST00468,2024-05-20,Points Earn,737,In-Store,0,0
ENG000299,CUST00437,2024-11-23,Points Earn,71,In-Store,0,0
ENG000300,CUST00443,2023-01-27,App Login,0,Mobile App,427,0
ENG000301,CUST00248,2024-07-19,Points Redeem,56,Online,0,0
ENG000302,CUST00643,2023-11-19,Promo Click,0,Mobile App,906,1
ENG000303,CUST00915,2024-12-15,Points Earn,95,Online,0,0
ENG000304,CUST00246,2022-10-12,Promo Click,0,In-Store,558,0
ENG000305,CUST00907,2024-08-13,App Login,0,Online,727,0
ENG000306,CUST00903,2023-03-22,App Login,0,Mobile App,473,0
ENG000307,CUST00519,2024-02-08,Points Redeem,14,In-Store,0,0
ENG000308,CUST00202,2024-01-24,Points Earn,434,In-Store,0,0
ENG000309,CUST00763,2022-02-01,Points Redeem,54,In-Store,0,0
ENG000310,CUST00009,2024-08-05,Points Earn,396,Online,0,0
ENG000311,CUST00232,2024-08-10,Points Earn,656,In-Store,0,0
ENG000312,CUST00437,2022-11-08,Promo Click,0,In-Store,455,0
ENG000313,CUST00465,2023-11-07,App Login,0,Online,1469,0
ENG000314,CUST00334,2024-09-18,Points Earn,304,Online,0,0
ENG000315,CUST00068,2024-07-13,Promo Click,0,Mobile App,1574,0
ENG000316,CUST00178,2023-09-03,Points Redeem,592,In-Store,0,0
ENG000317,CUST00041,2022-09-14,Promo Click,0,In-Store,885,0
ENG000318,CUST00214,2023-03-07,App Login,0,In-Store,777,0
ENG000319,CUST00075,2023-09-09,Referral,0,In-Store,0,0
ENG000320,CUST00853,2024-12-24,Points Earn,34,In-Store,0,0
ENG000321,CUST00161,2024-09-24,Promo Click,0,In-Store,558,0
ENG000322,CUST00622,2023-11-25,Points Earn,79,Online,0,0
ENG000323,CUST00451,2023-10-17,Promo Click,0,In-Store,1359,0
ENG000324,CUST00073,2024-09-10,Points Earn,197,In-Store,0,0
ENG000325,CUST00082,2022-10-06,App Login,0,In-Store,785,0
ENG000326,CUST00272,2024-08-26,Promo Click,0,Mobile App,568,0
ENG000327,CUST00932,2024-10-23,Points Earn,678,In-Store,0,0
ENG000328,CUST00182,2024-07-28,Points Redeem,10,Mobile App,0,0
ENG000329,CUST00726,2022-02-09,Promo Click,0,Online,1005,0
ENG000330,CUST00824,2022-11-28,Points Redeem,572,Online,0,0
ENG000331,CUST00921,2022-04-09,App Login,0,In-Store,1255,0
ENG000332,CUST00179,2024-03-03,Points Earn,539,Online,0,0
ENG000333,CUST00704,2024-12-14,Referral,0,Online,0,0
ENG000334,CUST00404,2023-06-20,Points Redeem,396,Mobile App,0,0
ENG000335,CUST00673,2022-09-17,Points Redeem,155,Mobile App,0,0
ENG000336,CUST00040,2023-07-17,Promo Click,0,Mobile App,1637,0
ENG000337,CUST00186,2024-09-06,Points Earn,289,Online,0,0
ENG000338,CUST00569,2023-10-12,App Login,0,Online,731,0
ENG000339,CUST00622,2024-07-23,Promo Click,0,In-Store,537,0
ENG000340,CUST00294,2022-07-09,Points Earn,193,In-Store,0,0
ENG000341,CUST00035,2023-02-10,Points Earn,192,In-Store,0,0
ENG000342,CUST00005,2023-05-28,Promo Click,0,In-Store,921,1
ENG000343,CUST00208,2023-03-23,Points Redeem,761,Online,0,0
ENG000344,CUST00547,2023-02-24,Points Earn,68,In-Store,0,0
ENG000345,CUST00486,2024-08-29,App Login,0,Online,1590,0
ENG000346,CUST00972,2024-06-26,Points Earn,119,Online,0,0
ENG000347,CUST00530,2024-02-20,App Login,0,In-Store,205,0
ENG000348,CUST00809,2023-01-23,Points Earn,674,Online,0,0
ENG000349,CUST00247,2024-08-21,Points Earn,73,In-Store,0,0
ENG000350,CUST00170,2024-07-03,Points Redeem,137,In-Store,0,0
ENG000351,CUST00025,2022-03-02,Points Redeem,770,In-Store,0,0
ENG000352,CUST00197,2024-06-11,Points Earn,308,In-Store,0,0
ENG000353,CUST00525,2023-03-13,App Login,0,Mobile App,1447,0
ENG000354,CUST00330,2023-06-19,App Login,0,Mobile App,254,0
ENG000355,CUST00441,2024-11-25,Points Earn,722,In-Store,0,0
ENG000356,CUST00927,2023-11-29,Promo Click,0,In-Store,1154,0
ENG000357,CUST00076,2024-05-25,Referral,0,Online,0,0
ENG000358,CUST00235,2023-04-06,Points Earn,496,In-Store,0,0
ENG000359,CUST00108,2022-06-23,Points Earn,378,Online,0,0
ENG000360,CUST00709,2024-04-08,Points Earn,681,In-Store,0,0
ENG000361,CUST00981,2022-04-16,Points Redeem,447,In-Store,0,0
ENG000362,CUST00510,2024-02-20,Points Earn,192,In-Store,0,0
ENG000363,CUST00760,2023-09-15,Points Earn,50,Mobile App,0,0
ENG000364,CUST00289,2024-09-04,Points Earn,392,Mobile App,0,0
ENG000365,CUST00548,2024-06-02,Promo Click,0,Online,1364,1
ENG000366,CUST00566,2023-06-27,Points Earn,119,In-Store,0,0
ENG000367,CUST00171,2023-06-04,Points Earn,599,In-Store,0,0
ENG000368,CUST00507,2023-11-30,Promo Click,0,Online,196,0
ENG000369,CUST00234,2023-08-27,Promo Click,0,In-Store,1768,0
ENG000370,CUST00394,2024-04-26,Points Earn,575,In-Store,0,0
ENG000371,CUST00617,2022-06-06,Points Earn,622,Online,0,0
ENG000372,CUST00674,2024-08-03,Points Earn,706,In-Store,0,0
ENG000373,CUST00426,2023-01-30,Referral,0,Online,0,0
ENG000374,CUST00812,2024-11-03,Referral,0,Mobile App,0,0
ENG000375,CUST00065,2022-07-27,Promo Click,0,Online,1409,0
ENG000376,CUST00377,2022-04-19,Points Redeem,118,Online,0,0
ENG000377,CUST00043,2023-12-25,Points Earn,324,In-Store,0,0
ENG000378,CUST00672,2023-03-09,Points Redeem,464,In-Store,0,0
ENG000379,CUST00347,2024-04-11,Promo Click,0,In-Store,503,0
ENG000380,CUST00509,2024-08-21,Points Earn,794,In-Store,0,0
ENG000381,CUST00088,2024-04-03,Promo Click,0,In-Store,547,0
ENG000382,CUST00880,2022-03-16,App Login,0,Online,263,0
ENG000383,CUST00451,2022-05-20,Points Earn,76,Online,0,0
ENG000384,CUST00668,2024-06-03,Points Earn,769,Online,0,0
ENG000385,CUST00467,2024-06-22,Promo Click,0,Online,735,0
ENG000386,CUST00161,2024-06-04,Points Redeem,377,Online,0,0
ENG000387,CUST00235,2024-12-11,App Login,0,In-Store,449,0
ENG000388,CUST00501,2024-04-24,Points Redeem,215,In-Store,0,0
ENG000389,CUST00254,2024-08-15,Points Earn,60,In-Store,0,0
ENG000390,CUST00369,2024-02-02,Points Redeem,285,Mobile App,0,0
ENG000391,CUST00504,2023-06-22,Points Earn,49,In-Store,0,0
