transaction_id,customer_id,store_id,transaction_date,amount,channel,return_flag,cashback_earned,item_id
TXN000028,CUST00003,STR002,2024-06-20,278.54,In-Store,0,0,ITM0000030
TXN000029,CUST00003,STR020,2024-12-10,,Online,0,0,ITM0000031
TXN000030,CUST00003,STR027,2024-11-23,127.69,In-Store,0,0,ITM0000032
TXN000031,CUST00003,STR018,2024-01-23,393.2,In-Store,1,0,ITM0000033
TXN000031,CUST00003,STR018,2024-01-23,393.2,In-Store,1,0,ITM0000034
TXN000031,CUST00003,STR018,2024-01-23,393.2,In-Store,1,0,ITM0000035
TXN000032,CUST00003,STR029,2023-09-30,48.96,In-Store,0,0,ITM0000036
TXN000032,CUST00003,STR029,2023-09-30,48.96,In-Store,0,0,ITM0000037
TXN000033,CUST00003,STR030,2022-07-29,307.2,In-Store,0,0,ITM0000038
TXN000034,CUST00003,STR007,2023-10-23,344.06,In-Store,1,0,ITM0000039
TXN000035,CUST00004,STR013,2023-10-27,162.53,Online,0,0,ITM0000040
TXN000036,CUST00004,STR019,2022-06-02,189.76,Online,0,0,ITM0000041
TXN000037,CUST00005,STR005,2024-07-03,572.96,In-Store,1,19.55,ITM0000042
TXN000038,CUST00005,STR009,2023-07-01,352.55,In-Store,0,12.09,ITM0000043
TXN000039,CUST00005,STR027,2022-02-20,643.7,Online,0,14.69,ITM0000044
TXN000040,CUST00005,STR007,2023-09-03,80.5,Mobile App,0,1.96,ITM0000045
TXN000040,CUST00005,STR007,2023-09-03,80.5,Mobile App,0,1.96,ITM0000045
TXN000041,CUST00005,STR004,2024-10-18,167.07,In-Store,1,3.51,ITM0000046
TXN000042,CUST00005,STR005,2022-11-25,469.01,Online,0,11.85,ITM0000047
TXN000043,CUST00005,STR027,2023-03-03,123.39,In-Store,0,4.65,ITM0000048
TXN000044,CUST00005,STR008,2023-09-16,647.52 CAD,In-Store,0,13.78,ITM0000049
TXN000045,CUST00005,STR019,2023-12-06,367.9,In-Store,0,14.13,ITM0000050
TXN000046,CUST00005,STR028,2023-03-01,524.77,In-Store,0,8.03,ITM0000051
TXN000047,CUST00005,STR012,2022-09-08,425.64,In-Store,0,16.02,ITM0000052
TXN000048,CUST00005,STR030,2024-09-24,608.45,Online,0,14.15,ITM0000053
TXN000048,CUST00005,STR030,2024-09-24,608.45,Online,0,14.15,ITM0000054
TXN000049,CUST00006,STR003,2022-01-27,587.51,In-Store,0,15.83,ITM0000055
TXN000050,CUST00006,STR029,2022-05-28,615.1,Mobile App,0,20.23,ITM0000056
TXN000051,CUST00006,STR029,2023-07-15,275.83,In-Store,0,9.52,ITM0000057
TXN000052,CUST00006,STR010,2023-02-21,534.63,In-Store,1,14.83,ITM0000058
TXN000052,CUST00006,STR010,2023-02-21,534.63,In-Store,1,14.83,ITM0000059
TXN000053,CUST00006,STR021,2022-09-14,216.06,Mobile App,1,7.16,ITM0000060
TXN000054,CUST00006,STR028,2022-02-28,299.1,Online,1,9.71,ITM0000061
TXN000055,CUST00006,STR018,2024-02-27,154.17,Mobile App,0,3.63,ITM0000062
TXN000056,CUST00006,STR014,2022-09-10,270.31,In-Store,1,2.72,ITM0000063
TXN000057,CUST00006,STR009,2023-10-04,598.32,In-Store,1,6.56,ITM0000064
TXN000058,CUST00006,STR019,2024-12-04,203.89,In-Store,0,8.09,ITM0000065
TXN000059,CUST00007,STR029,2024-06-15,377.77,In-Store,0,12.17,ITM0000066
TXN000060,CUST00007,STR003,2022-07-12,315.93,In-Store,0,5.78,ITM0000067
TXN000061,CUST00007,STR007,2023-11-21,416.24,In-Store,0,4.94,ITM0000068
TXN000062,CUST00007,STR014,2023-09-15,593.86,Mobile App,0,20.35,ITM0000069
TXN000062,CUST00007,STR014,2023-09-15,593.86,Mobile App,0,20.35,ITM0000070
TXN000063,CUST00007,STR005,2023-12-05,338.67,In-Store,0,9.33,ITM0000071
TXN000064,CUST00007,STR029,2024-01-01,432.14,Online,0,11.87,ITM0000072
TXN000065,CUST00007,STR015,2022-11-20,336.44,In-Store,0,11.56,ITM0000073
TXN000066,CUST00007,STR030,2023-09-04,56.06,Mobile App,0,1.93,ITM0000074
TXN000067,CUST00007,STR024,2022-12-11,,Online,0,9.5,ITM0000075
TXN000068,CUST00007,STR009,2023-07-10,604.47,Mobile App,0,8.6,ITM0000076
TXN000069,CUST00007,STR001,2024-12-28,179.5,In-Store,0,6.95,ITM0000077
TXN000070,CUST00007,STR013,2022-05-16,260.33,Online,0,5.52,ITM0000078
TXN000071,CUST00007,STR005,2024-09-14,545.97,In-Store,0,16.87,ITM0000079
TXN000072,CUST00007,STR027,2024-07-26,324.6,In-Store,0,11.77,ITM0000080
TXN000073,CUST00007,STR010,2022-01-17,395.73,In-Store,0,9.13,ITM0000081
TXN000073,CUST00007,STR010,2022-01-17,395.73,In-Store,0,9.13,ITM0000082
TXN000073,CUST00007,STR010,2022-01-17,395.73,In-Store,0,9.13,ITM0000083
TXN000074,CUST00007,STR017,07-14-2022,71.58,Online,0,0.84,ITM0000084
TXN000075,CUST00008,STR007,2024-09-10,92.32,Online,0,3.52,ITM0000085
TXN000076,CUST00008,STR021,2023-12-24,291.66,In-Store,0,7.17,ITM0000086
TXN000076,CUST00008,STR021,2023-12-24,291.66,In-Store,0,7.17,ITM0000086
TXN000077,CUST00008,STR020,06-08-2022,99.36,Online,0,1.95,ITM0000087
TXN000078,CUST00008,STR018,2023-11-23,287.99,Online,0,10.34,ITM0000088
TXN000079,CUST00008,STR009,2024-11-24,267.1,In-Store,0,2.77,ITM0000089
TXN000080,CUST00008,STR017,2022-11-23,152.86,In-Store,0,4.5,ITM0000090
TXN000081,CUST00008,STR011,2023-11-18,51.51,Mobile App,0,0.96,ITM0000091
TXN000082,CUST00008,STR016,2022-11-21,286.27,In-Store,0,5.06,ITM0000092
TXN000083,CUST00008,STR007,2023-12-17,584.63,Online,0,8.1,ITM0000093
TXN000084,CUST00008,STR011,2022-10-07,59.22,In-Store,1,0.82,ITM0000094
TXN000085,CUST00008,STR004,2023-11-28,439.56,Mobile App,0,14.38,ITM0000095
TXN000086,CUST00008,STR007,2022-12-06,365.85,In-Store,0,6.16,ITM0000096
TXN000086,CUST00008,STR007,2022-12-06,365.85,In-Store,0,6.16,ITM0000097
TXN000087,CUST00008,STR004,2022-12-23,355.38,Online,0,11.37,ITM0000098
TXN000088,CUST00008,STR022,2023-06-05,564.55,In-Store,0,10.8,ITM0000099
TXN000088,CUST00008,STR022,2023-06-05,564.55,In-Store,0,10.8,ITM0000100
TXN000089,CUST00008,STR010,2024-10-22,511.23,Online,0,5.19,ITM0000101
TXN000090,CUST00008,STR007,2023-06-25,302.33,In-Store,0,9.64,ITM0000102
TXN000091,CUST00009,STR028,2023-12-20,421.31,Online,0,11.45,ITM0000103
TXN000092,CUST00009,STR027,2023-12-04,257.29,Online,0,3.94,ITM0000104
TXN000093,CUST00009,STR027,2024-02-25,286.61,In-Store,0,5.17,ITM0000105
TXN000094,CUST00009,STR008,2024-03-09,265.54 CAD,Mobile App,0,7.59,ITM0000106
TXN000095,CUST00009,STR016,2024-05-03,104.19,Online,0,1.82,ITM0000107
TXN000096,CUST00009,STR013,2023-12-07,603.52,In-Store,0,10.26,ITM0000108
TXN000097,CUST00009,STR023,03-03-2023,466.23,Mobile App,0,13.53,ITM0000109
TXN000098,CUST00009,STR007,2023-11-26,134,Mobile App,0,5.32,ITM0000110
TXN000099,CUST00009,STR004,2024-10-08,131.95,In-Store,0,3.86,ITM0000111
TXN000099,CUST00009,STR004,2024-10-08,131.95,In-Store,0,3.86,ITM0000111
TXN000100,CUST00009,STR018,2024-05-06,494.42,Mobile App,0,8.1,ITM0000112
TXN000100,CUST00009,STR018,2024-05-06,494.42,Mobile App,0,8.1,ITM0000113
TXN000101,CUST00009,STR024,08-10-2023,240.4,In-Store,0,2.59,ITM0000114
TXN000102,CUST00009,STR010,2022-07-27,368.42,Online,0,6.3,ITM0000115
TXN000103,CUST00009,STR008,2022-06-08,256.24,Online,0,3.34,ITM0000116
TXN000104,CUST00009,STR003,2024-11-21,463.73,In-Store,0,15.86,ITM0000117
TXN000105,CUST00010,STR016,09-25-2022,167.33,Online,0,0,ITM0000118
TXN000106,CUST00010,STR009,2022-01-09,378.62,In-Store,0,0,ITM0000119
TXN000107,CUST00010,STR029,2024-09-14,384.6,Online,0,0,ITM0000120
TXN000108,CUST00010,STR009,2022-10-14,169.97,Online,0,0,ITM0000121
TXN000108,CUST00010,STR009,2022-10-14,169.97,Online,0,0,ITM0000122
TXN000109,CUST00010,STR013,2022-09-08,392.14,Online,0,0,ITM0000123
TXN000110,CUST00010,STR015,2023-09-02,318.62,In-Store,0,0,ITM0000124
TXN000111,CUST00010,STR024,2023-07-24,339.37,Online,0,0,ITM0000125
TXN000112,CUST00010,STR023,2022-12-03,170.73,In-Store,0,0,ITM0000126
TXN000113,CUST00010,STR007,2023-02-25,368.94,Online,0,0,ITM0000127
TXN000114,CUST00010,STR013,2023-09-08,29.26,Online,0,0,ITM0000128
TXN000115,CUST00011,STR004,2022-06-13,248.47,In-Store,0,0,ITM0000129
TXN000116,CUST00011,STR019,2024-02-24,183.87,In-Store,0,0,ITM0000130
TXN000117,CUST00011,STR001,2024-07-13,247.55,In-Store,0,0,ITM0000131
TXN000118,CUST00011,STR008,2023-04-05,66.34,Online,0,0,ITM0000132
TXN000118,CUST00011,STR008,2023-04-05,66.34,Online,0,0,ITM0000133
TXN000119,CUST00011,STR012,2024-03-08,40.25,Online,0,0,ITM0000134
TXN000120,CUST00011,STR023,2022-08-21,109.32,In-Store,0,0,ITM0000135
TXN000121,CUST00011,STR003,2022-03-11,193.93,In-Store,0,0,ITM0000136
TXN000122,CUST00011,STR030,2023-07-11,65.63,Online,0,0,ITM0000137
TXN000123,CUST00012,STR004,2023-07-15,84.69,In-Store,0,0,ITM0000138
TXN000124,CUST00012,STR002,2023-06-28,22.41,Mobile App,0,0,ITM0000139
TXN000125,CUST00013,STR013,2023-12-24,95.6,In-Store,0,2.83,ITM0000140
TXN000126,CUST00013,STR010,2022-06-20,69.01,Online,0,2.54,ITM0000141
TXN000127,CUST00013,STR030,2024-12-16,560.46,In-Store,0,22.41,ITM0000142
TXN000128,CUST00013,STR008,2022-05-29,407.36 CAD,In-Store,0,14.41,ITM0000143
TXN000129,CUST00013,STR030,2023-02-15,586.14,In-Store,0,21.48,ITM0000144
TXN000130,CUST00013,STR023,2022-11-24,299.53,In-Store,1,3.86,ITM0000145
TXN000131,CUST00013,STR011,2024-12-14,75.84,Online,0,2.36,ITM0000146
TXN000132,CUST00013,STR029,2022-06-26,110.76,In-Store,0,3.04,ITM0000147
TXN000133,CUST00013,STR005,2023-09-26,538.32,In-Store,0,19.39,ITM0000148
TXN000134,CUST00013,STR026,2022-11-27,357.66,Online,0,4.86,ITM0000149
TXN000134,CUST00013,STR026,2022-11-27,357.66,Online,0,4.86,ITM0000150
TXN000134,CUST00013,STR026,2022-11-27,357.66,Online,0,4.86,ITM0000151
TXN000135,CUST00013,STR011,2024-12-28,425.52,In-Store,0,13.16,ITM0000152
TXN000136,CUST00013,STR017,2023-03-13,330.63,In-Store,0,11.84,ITM0000153
TXN000137,CUST00014,STR016,2022-11-22,599.96,In-Store,1,17.84,ITM0000154
TXN000138,CUST00014,STR021,2024-12-08,143.28,In-Store,0,5.2,ITM0000155
TXN000139,CUST00014,STR011,2022-06-05,90.26,In-Store,0,2.52,ITM0000156
TXN000139,CUST00014,STR011,2022-06-05,90.26,In-Store,0,2.52,ITM0000157
TXN000140,CUST00014,STR003,2024-06-06,153.18,In-Store,0,3.11,ITM0000158
TXN000141,CUST00014,STR021,2022-12-09,147.06,In-Store,0,1.8,ITM0000159
TXN000142,CUST00014,STR024,2022-10-12,212.63,Online,0,5.1,ITM0000160
TXN000143,CUST00014,STR012,2023-07-20,598.09,In-Store,0,15.07,ITM0000161
TXN000144,CUST00014,STR004,2023-03-29,,Online,0,1.87,ITM0000162
TXN000145,CUST00015,STR022,2024-07-13,155.45,Mobile App,0,0,ITM0000163
TXN000146,CUST00015,STR010,2024-01-16,316.86,Mobile App,0,0,ITM0000164
TXN000147,CUST00015,STR024,2023-01-13,193.1,In-Store,0,0,ITM0000165
TXN000148,CUST00015,STR021,2024-04-07,74.98,In-Store,0,0,ITM0000166
TXN000149,CUST00015,STR001,2023-06-15,168.54,In-Store,0,0,ITM0000167
TXN000149,CUST00015,STR001,2023-06-15,168.54,In-Store,0,0,ITM0000168
TXN000150,CUST00015,STR021,2022-06-19,135.27,Mobile App,0,0,ITM0000169
TXN000151,CUST00015,STR027,2023-04-01,26.91,In-Store,0,0,ITM0000170
TXN000152,CUST00015,STR009,2024-05-12,347.93,In-Store,0,0,ITM0000171
TXN000153,CUST00015,STR004,2024-06-30,316.76,Mobile App,0,0,ITM0000172
TXN000154,CUST00016,STR022,2024-04-23,405.7,In-Store,1,13.3,ITM0000173
TXN000155,CUST00016,STR006,2022-11-20,327.74,In-Store,0,4.47,ITM0000174
TXN000156,CUST00016,STR018,2022-11-29,150.4,In-Store,0,2.76,ITM0000175
TXN000157,CUST00016,STR012,2023-11-01,360.87,Mobile App,0,6.83,ITM0000176
TXN000157,CUST00016,STR012,2023-11-01,360.87,Mobile App,0,6.83,ITM0000176
TXN000158,CUST00016,STR025,2022-01-03,63.8,Online,0,2.17,ITM0000177
TXN000159,CUST00016,STR023,2023-04-13,516.87,In-Store,0,15.51,ITM0000178
TXN000159,CUST00016,STR023,2023-04-13,516.87,In-Store,0,15.51,ITM0000179
TXN000160,CUST00016,STR021,2023-11-29,140.49,In-Store,0,4.88,ITM0000180
TXN000161,CUST00016,STR030,2024-06-13,430.13,Online,1,11.48,ITM0000181
TXN000162,CUST00016,STR008,2022-03-25,323.26,In-Store,0,3.4,ITM0000182
TXN000163,CUST00016,STR030,2023-11-26,419.46,Mobile App,1,7.25,ITM0000183
TXN000164,CUST00016,STR005,2022-06-08,571.67,Online,0,21.26,ITM0000184
TXN000165,CUST00016,STR026,2023-06-22,378.96,In-Store,0,10.94,ITM0000185
TXN000165,CUST00016,STR026,2023-06-22,378.96,In-Store,0,10.94,ITM0000185
TXN000166,CUST00016,STR030,2024-12-22,451.22,Online,0,7.52,ITM0000186
TXN000167,CUST00016,STR021,2023-12-07,596.76,Online,0,23.79,ITM0000187
TXN000167,CUST00016,STR021,2023-12-07,596.76,Online,0,23.79,ITM0000188
TXN000168,CUST00016,STR022,2024-08-09,511.6,In-Store,0,15.26,ITM0000189
TXN000169,CUST00017,STR029,05-29-2023,374.19,In-Store,0,0,ITM0000190
TXN000170,CUST00017,STR011,2022-01-29,144.6,Online,1,0,ITM0000191
TXN000171,CUST00017,STR019,2024-10-06,319.09,Online,0,0,ITM0000192
TXN000172,CUST00017,STR009,2022-02-12,229.27,In-Store,0,0,ITM0000193
TXN000173,CUST00017,STR020,2022-01-02,337.79,Mobile App,0,0,ITM0000194
TXN000174,CUST00017,STR012,2022-04-11,283.55,Mobile App,0,0,ITM0000195
TXN000175,CUST00017,STR003,2024-05-28,30.54,Online,0,0,ITM0000196
TXN000176,CUST00017,STR008,2024-05-10,197.39,In-Store,0,0,ITM0000197
TXN000176,CUST00017,STR008,2024-05-10,197.39,In-Store,0,0,ITM0000197
TXN000177,CUST00017,STR003,2024-06-28,360.13,In-Store,0,0,ITM0000198
TXN000177,CUST00017,STR003,2024-06-28,360.13,In-Store,0,0,ITM0000199
TXN000177,CUST00017,STR003,2024-06-28,360.13,In-Store,0,0,ITM0000200
TXN000178,CUST00017,STR008,2024-04-28,59.96,In-Store,0,0,ITM0000201
TXN000178,CUST00017,STR008,2024-04-28,59.96,In-Store,0,0,ITM0000201
TXN000179,CUST00018,STR008,2022-03-01,77.51,Online,0,0,ITM0000202
TXN000180,CUST00018,STR013,2022-07-19,204.59,Online,0,0,ITM0000203
TXN000181,CUST00018,STR010,2023-02-12,135.91,In-Store,0,0,ITM0000204
TXN000182,CUST00018,STR029,2022-07-04,146.17,Online,0,0,ITM0000205
TXN000183,CUST00018,STR005,2022-07-08,115.15,Mobile App,0,0,ITM0000206
TXN000184,CUST00018,STR025,2022-11-05,217.11,In-Store,0,0,ITM0000207
TXN000184,CUST00018,STR025,2022-11-05,217.11,In-Store,0,0,ITM0000207
TXN000185,CUST00018,STR024,2022-05-10,140.43,In-Store,0,0,ITM0000208
TXN000186,CUST00019,STR011,2023-02-12,239.85,In-Store,0,9.28,ITM0000209
TXN000187,CUST00019,STR019,2022-01-30,548.8,Online,0,10.06,ITM0000210
TXN000188,CUST00019,STR025,2023-01-13,185.89,In-Store,0,5.32,ITM0000211
TXN000189,CUST00019,STR006,2022-12-13,217.58,Mobile App,0,4.28,ITM0000212
TXN000190,CUST00019,STR009,2022-05-23,178.08,In-Store,0,5.01,ITM0000213
TXN000191,CUST00019,STR004,2024-11-25,310,In-Store,1,8.68,ITM0000214
TXN000191,CUST00019,STR004,2024-11-25,310,In-Store,1,8.68,ITM0000214
TXN000192,CUST00019,STR030,2022-12-16,323.05,Online,0,6.71,ITM0000215
TXN000193,CUST00019,STR013,2022-09-04,588.91,Online,0,23.39,ITM0000216
TXN000194,CUST00019,STR027,2022-01-06,641.58,In-Store,0,10.56,ITM0000217
TXN000195,CUST00019,STR010,2022-08-25,345.07,In-Store,0,7.16,ITM0000218
TXN000195,CUST00019,STR010,2022-08-25,345.07,In-Store,0,7.16,ITM0000219
TXN000195,CUST00019,STR010,2022-08-25,345.07,In-Store,0,7.16,ITM0000220
TXN000196,CUST00019,STR002,11-26-2023,449.57,In-Store,0,7.78,ITM0000221
TXN000196,CUST00019,STR002,11-26-2023,449.57,In-Store,0,7.78,ITM0000222
TXN000197,CUST00019,STR016,2023-01-18,338.54,In-Store,0,3.98,ITM0000223
TXN000198,CUST00019,STR013,2024-12-11,,In-Store,0,6.44,ITM0000224
TXN000199,CUST00019,STR024,2022-10-15,79.03,In-Store,1,1.52,ITM0000225
TXN000199,CUST00019,STR024,2022-10-15,79.03,In-Store,1,1.52,ITM0000226
TXN000200,CUST00019,STR029,2023-04-06,419.21,In-Store,0,14.18,ITM0000227
TXN000201,CUST00019,STR005,2022-12-19,636.22,Online,0,13.71,ITM0000228
TXN000201,CUST00019,STR005,2022-12-19,636.22,Online,0,13.71,ITM0000229
TXN000202,CUST00019,STR025,2023-04-25,516.92,In-Store,0,9.66,ITM0000230
TXN000203,CUST00019,STR026,2022-10-22,310.8,Online,0,11.92,ITM0000231
TXN000203,CUST00019,STR026,2022-10-22,310.8,Online,0,11.92,ITM0000232
TXN000204,CUST00020,STR004,2022-07-20,466.57,Mobile App,0,18.3,ITM0000233
TXN000204,CUST00020,STR004,2022-07-20,466.57,Mobile App,0,18.3,ITM0000233
TXN000205,CUST00020,STR011,2023-03-15,474.01,In-Store,0,11.44,ITM0000234
TXN000206,CUST00020,STR027,2022-11-30,377.8,Online,0,9.98,ITM0000235
TXN000207,CUST00020,STR020,2023-02-21,526.26,In-Store,0,6.36,ITM0000236
TXN000207,CUST00020,STR020,2023-02-21,526.26,In-Store,0,6.36,ITM0000237
TXN000207,CUST00020,STR020,2023-02-21,526.26,In-Store,0,6.36,ITM0000238
TXN000208,CUST00020,STR022,2022-04-27,421.9,Mobile App,0,12.18,ITM0000239
TXN000209,CUST00020,STR008,05-05-2023,164.74,In-Store,0,4.05,ITM0000240
TXN000210,CUST00020,STR005,2022-12-31,83.68,In-Store,0,2.65,ITM0000241
TXN000210,CUST00020,STR005,2022-12-31,83.68,In-Store,0,2.65,ITM0000242
TXN000211,CUST00020,STR016,2023-06-09,174.61,In-Store,0,2.54,ITM0000243
TXN000212,CUST00020,STR008,2022-11-21,612.77,In-Store,0,22.83,ITM0000244
TXN000212,CUST00020,STR008,2022-11-21,612.77,In-Store,0,22.83,ITM0000245
TXN000213,CUST00020,STR003,2022-06-02,468.85,In-Store,0,9.54,ITM0000246
TXN000214,CUST00021,STR007,2024-02-18,63.2,In-Store,0,0,ITM0000247
TXN000215,CUST00021,STR022,2023-06-13,24.46,Online,0,0,ITM0000248
TXN000216,CUST00021,STR019,2024-10-14,67.78 CAD,In-Store,1,0,ITM0000249
TXN000217,CUST00021,STR005,2023-03-07,138.71,In-Store,0,0,ITM0000250
TXN000217,CUST00021,STR005,2023-03-07,138.71,In-Store,0,0,ITM0000251
TXN000218,CUST00021,STR001,2023-07-17,103.42,Online,0,0,ITM0000252
TXN000219,CUST00022,STR006,05-26-2024,107.34,In-Store,0,0,ITM0000253
TXN000220,CUST00022,STR012,2023-03-28,219.8,In-Store,0,0,ITM0000254
TXN000221,CUST00022,STR011,2023-01-10,248.45,Mobile App,0,0,ITM0000255
TXN000222,CUST00023,STR012,2024-09-28,381.32,Online,0,0,ITM0000256
TXN000223,CUST00023,STR014,2024-03-01,,In-Store,0,0,ITM0000257
TXN000224,CUST00023,STR006,2023-08-25,245.76,In-Store,0,0,ITM0000258
TXN000225,CUST00023,STR027,2023-08-13,290.56,In-Store,0,0,ITM0000259
TXN000226,CUST00023,STR014,2022-10-10,143.09,Online,1,0,ITM0000260
TXN000227,CUST00023,STR018,2024-05-07,147.62,Mobile App,0,0,ITM0000261
TXN000228,CUST00024,STR025,2022-04-22,131.29,In-Store,0,0,ITM0000262
TXN000229,CUST00024,STR006,2024-05-05,109.53,Online,0,0,ITM0000263
TXN000230,CUST00025,STR007,2022-02-14,396.43,In-Store,0,14.27,ITM0000264
TXN000231,CUST00025,STR026,2022-12-09,306.62,Online,0,4.78,ITM0000265
TXN000232,CUST00025,STR018,2023-02-06,340.99,Mobile App,0,12.15,ITM0000266
TXN000233,CUST00025,STR016,2022-01-13,250.38,Online,0,9.09,ITM0000267
TXN000234,CUST00025,STR002,2024-12-08,465.85,In-Store,0,13.74,ITM0000268
TXN000235,CUST00025,STR027,2023-12-18,378.86,Mobile App,1,5.43,ITM0000269
TXN000235,CUST00025,STR027,2023-12-18,378.86,Mobile App,1,5.43,ITM0000270
TXN000235,CUST00025,STR027,2023-12-18,378.86,Mobile App,1,5.43,ITM0000271
TXN000236,CUST00025,STR030,2024-11-29,462.98,Online,0,9.03,ITM0000272
TXN000237,CUST00025,STR015,2024-03-19,507.22,In-Store,0,14.66,ITM0000273
TXN000237,CUST00025,STR015,2024-03-19,507.22,In-Store,0,14.66,ITM0000274
TXN000237,CUST00025,STR015,2024-03-19,507.22,In-Store,0,14.66,ITM0000275
TXN000238,CUST00025,STR026,10-15-2022,518.13,In-Store,0,6.94,ITM0000276
TXN000239,CUST00025,STR001,2022-10-11,543.52,Online,0,19.97,ITM0000277
TXN000240,CUST00026,STR009,2023-08-22,213.77,In-Store,0,0,ITM0000278
TXN000241,CUST00026,STR025,2023-02-21,101.72,In-Store,0,0,ITM0000279
TXN000242,CUST00026,STR026,2024-02-20,33.6,In-Store,0,0,ITM0000280
TXN000242,CUST00026,STR026,2024-02-20,33.6,In-Store,0,0,ITM0000281
TXN000243,CUST00026,STR024,2024-04-10,212.04,Online,0,0,ITM0000282
TXN000244,CUST00026,STR011,02-20-2024,28.27,Online,0,0,ITM0000283
TXN000245,CUST00026,STR029,2023-08-09,358.99,Mobile App,0,0,ITM0000284
TXN000246,CUST00026,STR009,01-29-2024,368.96,Online,0,0,ITM0000285
TXN000246,CUST00026,STR009,01-29-2024,368.96,Online,0,0,ITM0000286
TXN000247,CUST00026,STR005,2022-08-21,350.16,In-Store,0,0,ITM0000287
TXN000248,CUST00026,STR030,2022-07-11,365.54,In-Store,0,0,ITM0000288
TXN000249,CUST00026,STR029,2022-01-02,54.04,In-Store,0,0,ITM0000289
TXN000249,CUST00026,STR029,2022-01-02,54.04,In-Store,0,0,ITM0000290
TXN000250,CUST00026,STR029,2024-08-31,154.37,In-Store,0,0,ITM0000291
TXN000251,CUST00027,STR002,2022-05-03,142.11,In-Store,0,0,ITM0000292
TXN000252,CUST00027,STR025,2024-11-09,150.61,Online,0,0,ITM0000293
TXN000253,CUST00027,STR002,2023-06-07,164.94,In-Store,0,0,ITM0000294
TXN000254,CUST00027,STR013,2022-05-11,96.91,Mobile App,0,0,ITM0000295
TXN000255,CUST00027,STR007,2023-03-14,210.9,In-Store,0,0,ITM0000296
TXN000256,CUST00027,STR007,2023-07-17,136.04,In-Store,0,0,ITM0000297
TXN000257,CUST00027,STR007,2023-12-23,133.84,In-Store,0,0,ITM0000298
TXN000258,CUST00028,STR011,2023-02-17,218.62,In-Store,0,0,ITM0000299
TXN000259,CUST00028,STR015,2023-05-14,340.3,In-Store,0,0,ITM0000300
TXN000259,CUST00028,STR015,2023-05-14,340.3,In-Store,0,0,ITM0000301
TXN000260,CUST00028,STR015,2022-02-08,83.04,Online,0,0,ITM0000302
TXN000261,CUST00028,STR017,2023-02-19,361.55,Online,0,0,ITM0000303
TXN000262,CUST00029,STR004,2024-09-17,305.92,In-Store,0,6.95,ITM0000304
TXN000263,CUST00029,STR019,2024-11-25,108.82,Online,0,2.35,ITM0000305
TXN000264,CUST00029,STR007,2023-12-31,474.81,Online,0,5.68,ITM0000306
TXN000265,CUST00029,STR011,2022-03-27,567.55,Mobile App,0,12.06,ITM0000307
